"coloring","info","is_mrna_tf","name","selected","shared name"
"mirna","mirna",,"mir-141-3p","false","mir-141-3p"
"dummy","dummy",,"","false","mir-141-3p/mir-200a-3p"
"mirna","mirna",,"mir-92b-3p","false","mir-92b-3p"
"dummy","dummy",,"","false","mir-92b-3p/mir-7-5p"
"mirna","mirna",,"mir-335-3p","false","mir-335-3p"
"dummy","dummy",,"","false","mir-335-3p/mir-424-5p"
"mirna","mirna",,"mir-532-3p","false","mir-532-3p"
"dummy","dummy",,"","false","mir-532-3p/mir-182-5p"
"mirna","mirna",,"let-7c-5p","false","let-7c-5p"
"dummy","dummy",,"","false","let-7c-5p/mir-199b-5p"
"mirna","mirna",,"mir-502-5p","false","mir-502-5p"
"dummy","dummy",,"","false","mir-502-5p/mir-98-5p"
"mirna","mirna",,"mir-424-5p","false","mir-424-5p"
"dummy","dummy",,"","false","mir-424-5p/mir-133a-3p"
"mirna","mirna",,"mir-760","false","mir-760"
"dummy","dummy",,"","false","mir-760/mir-335-5p"
"mirna","mirna",,"mir-660-5p","false","mir-660-5p"
"dummy","dummy",,"","false","mir-660-5p/mir-34b-5p"
"mirna","mirna",,"mir-485-3p","false","mir-485-3p"
"dummy","dummy",,"","false","mir-485-3p/mir-362-3p"
"mirna","mirna",,"mir-329-3p","false","mir-329-3p"
"dummy","dummy",,"","false","mir-329-3p/mir-362-3p"
"mirna","mirna",,"mir-940","false","mir-940"
"dummy","dummy",,"","false","mir-940/mir-582-3p"
"mirna","mirna",,"mir-500a-5p","false","mir-500a-5p"
"dummy","dummy",,"","false","mir-500a-5p/mir-106a-5p"
"mirna","mirna",,"mir-502-3p","false","mir-502-3p"
"dummy","dummy",,"","false","mir-502-3p/mir-106a-5p"
"mirna","mirna",,"mir-130a-3p","false","mir-130a-3p"
"dummy","dummy",,"","false","mir-130a-3p/mir-20a-5p"
"mirna","mirna",,"mir-501-3p","false","mir-501-3p"
"dummy","dummy",,"","false","mir-501-3p/mir-20a-5p"
"dummy","dummy",,"","false","mir-501-3p/mir-106a-5p"
"dummy","dummy",,"","false","mir-500a-5p/mir-95-3p"
"mirna","mirna",,"mir-206","false","mir-206"
"dummy","dummy",,"","false","mir-206/mir-95-3p"
"mirna","mirna",,"mir-20a-5p","false","mir-20a-5p"
"dummy","dummy",,"","false","mir-20a-5p/mir-7-5p"
"mirna","mirna",,"mir-17-5p","false","mir-17-5p"
"dummy","dummy",,"","false","mir-17-5p/mir-7-5p"
"mirna","mirna",,"mir-3065-5p","false","mir-3065-5p"
"dummy","dummy",,"","false","mir-3065-5p/mir-34a-3p"
"mirna","mirna",,"mir-410-3p","false","mir-410-3p"
"dummy","dummy",,"","false","mir-410-3p/mir-1-3p"
"mirna","mirna",,"mir-1-3p","false","mir-1-3p"
"dummy","dummy",,"","false","mir-1-3p/mir-329-3p"
"mirna","mirna",,"mir-452-5p","false","mir-452-5p"
"dummy","dummy",,"","false","mir-452-5p/mir-708-5p"
"mirna","mirna",,"mir-195-5p","false","mir-195-5p"
"dummy","dummy",,"","false","mir-195-5p/mir-497-5p"
"dummy","dummy",,"","false","mir-20a-5p/mir-19b-1-5p"
"dummy","dummy",,"","false","mir-20a-5p/mir-17-5p"
"mirna","mirna",,"mir-769-3p","false","mir-769-3p"
"dummy","dummy",,"","false","mir-769-3p/mir-339-5p"
"dummy","dummy",,"","false","mir-1-3p/mir-411-5p"
"mirna","mirna",,"mir-29b-1-5p","false","mir-29b-1-5p"
"dummy","dummy",,"","false","mir-29b-1-5p/mir-3130-5p"
"mirna","mirna",,"mir-152-3p","false","mir-152-3p"
"dummy","dummy",,"","false","mir-152-3p/mir-1226-3p"
"dummy","dummy",,"","false","mir-206/mir-1-3p"
"mirna","mirna",,"mir-676-3p","false","mir-676-3p"
"dummy","dummy",,"","false","mir-676-3p/mir-34b-3p"
"mirna","mirna",,"mir-29a-5p","false","mir-29a-5p"
"dummy","dummy",,"","false","mir-29a-5p/mir-29a-3p"
"dummy","dummy",,"","false","mir-335-3p/mir-3187-3p"
"dummy","dummy",,"","false","mir-410-3p/mir-382-5p"
"mirna","mirna",,"mir-421","false","mir-421"
"dummy","dummy",,"","false","mir-421/mir-219a-1-3p"
"mirna","mirna",,"mir-654-3p","false","mir-654-3p"
"dummy","dummy",,"","false","mir-654-3p/mir-424-5p"
"mirna","mirna",,"mir-378a-5p","false","mir-378a-5p"
"dummy","dummy",,"","false","mir-378a-5p/mir-96-5p"
"dummy","dummy",,"","false","mir-17-5p/mir-424-5p"
"mirna","mirna",,"mir-20b-5p","false","mir-20b-5p"
"dummy","dummy",,"","false","mir-20b-5p/mir-877-3p"
"mirna","mirna",,"mir-363-3p","false","mir-363-3p"
"dummy","dummy",,"","false","mir-363-3p/mir-877-3p"
"dummy","dummy",,"","false","mir-17-5p/mir-491-3p"
"mirna","mirna",,"mir-494-3p","false","mir-494-3p"
"dummy","dummy",,"","false","mir-494-3p/mir-381-3p"
"dummy","dummy",,"","false","mir-17-5p/mir-708-5p"
"mirna","mirna",,"mir-149-3p","false","mir-149-3p"
"dummy","dummy",,"","false","mir-149-3p/mir-30c-2-3p"
"mirna","mirna",,"mir-1226-3p","false","mir-1226-3p"
"dummy","dummy",,"","false","mir-1226-3p/mir-18a-3p"
"dummy","dummy",,"","false","mir-195-5p/let-7b-5p"
"mirna","mirna",,"mir-106a-5p","false","mir-106a-5p"
"dummy","dummy",,"","false","mir-106a-5p/mir-326"
"mirna","mirna",,"mir-149-5p","false","mir-149-5p"
