"coloring","info","is_mrna_tf","name","selected","shared name"
"mirna","mirna",,"let-7c-5p","false","let-7c-5p"
"dummy","dummy",,"","false","let-7c-5p/mir-96-5p"
"mirna","mirna",,"mir-320c","false","mir-320c"
"dummy","dummy",,"","false","mir-320c/mir-1-3p"
"mirna","mirna",,"mir-335-5p","false","mir-335-5p"
"dummy","dummy",,"","false","mir-335-5p/mir-3150b-3p"
"mirna","mirna",,"mir-2116-3p","false","mir-2116-3p"
"dummy","dummy",,"","false","mir-2116-3p/mir-629-3p"
"mirna","mirna",,"mir-30a-3p","false","mir-30a-3p"
"dummy","dummy",,"","false","mir-30a-3p/mir-129-5p"
"mirna","mirna",,"mir-106a-5p","false","mir-106a-5p"
"dummy","dummy",,"","false","mir-106a-5p/mir-495-3p"
"mirna","mirna",,"mir-424-5p","false","mir-424-5p"
"dummy","dummy",,"","false","mir-424-5p/mir-32-5p"
"mirna","mirna",,"let-7b-5p","false","let-7b-5p"
"dummy","dummy",,"","false","let-7b-5p/mir-145-5p"
"mirna","mirna",,"mir-582-5p","false","mir-582-5p"
"dummy","dummy",,"","false","mir-582-5p/mir-143-3p"
"mirna","mirna",,"mir-129-2-3p","false","mir-129-2-3p"
"dummy","dummy",,"","false","mir-129-2-3p/let-7b-5p"
"mirna","mirna",,"mir-582-3p","false","mir-582-3p"
"dummy","dummy",,"","false","mir-582-3p/mir-143-3p"
"mirna","mirna",,"mir-145-5p","false","mir-145-5p"
"dummy","dummy",,"","false","mir-145-5p/mir-582-5p"
"dummy","dummy",,"","false","mir-424-5p/mir-106a-5p"
"mirna","mirna",,"mir-101-3p","false","mir-101-3p"
"dummy","dummy",,"","false","mir-101-3p/mir-424-5p"
"mirna","mirna",,"mir-548e-3p","false","mir-548e-3p"
"dummy","dummy",,"","false","mir-548e-3p/mir-1304-5p"
"dummy","dummy",,"","false","mir-101-3p/mir-106a-5p"
"mirna","mirna",,"mir-194-5p","false","mir-194-5p"
"dummy","dummy",,"","false","mir-194-5p/mir-125b-5p"
"dummy","dummy",,"","false","mir-424-5p/mir-20a-5p"
"mirna","mirna",,"mir-10b-3p","false","mir-10b-3p"
"dummy","dummy",,"","false","mir-10b-3p/mir-511-5p"
"mirna","mirna",,"mir-142-3p","false","mir-142-3p"
"dummy","dummy",,"","false","mir-142-3p/mir-21-5p"
"mirna","mirna",,"mir-20a-5p","false","mir-20a-5p"
"dummy","dummy",,"","false","mir-20a-5p/mir-10a-5p"
"dummy","dummy",,"","false","let-7b-5p/mir-10b-5p"
"mirna","mirna",,"mir-10a-5p","false","mir-10a-5p"
"dummy","dummy",,"","false","mir-10a-5p/mir-190a-5p"
"dummy","dummy",,"","false","let-7b-5p/let-7c-5p"
"mirna","mirna",,"mir-30e-5p","false","mir-30e-5p"
