"coloring","info","is_mrna_tf","name","selected","shared name"
"mrna","mrna","false","MTRNR2L8","false","MTRNR2L8"
"mrna","mrna","false","FAM110C","false","FAM110C"
"mrna","mrna","false","RNF165","false","RNF165"
"mrna","mrna","true","ZNF568","false","ZNF568"
"mrna","mrna","false","IRF2BP2","false","IRF2BP2"
"mrna","mrna","true","ZNF680","false","ZNF680"
"mrna","mrna","false","C5orf51","false","C5orf51"
"mrna","mrna","false","KANSL1","false","KANSL1"
"mrna","mrna","false","ANKRD52","false","ANKRD52"
"mrna","mrna","false","AGO4","false","AGO4"
"mrna","mrna","false","ASXL1","false","ASXL1"
"mrna","mrna","true","ZNF431","false","ZNF431"
"mrna","mrna","false","GPR180","false","GPR180"
"mrna","mrna","false","DTX3L","false","DTX3L"
"mrna","mrna","false","FAM117B","false","FAM117B"
"mrna","mrna","true","ZNF417","false","ZNF417"
"mrna","mrna","false","MIPOL1","false","MIPOL1"
"mrna","mrna","false","PRICKLE1","false","PRICKLE1"
"mrna","mrna","false","SESN3","false","SESN3"
"mrna","mrna","false","DYNLL2","false","DYNLL2"
"mrna","mrna","true","ZBTB46","false","ZBTB46"
"mrna","mrna","false","S100A16","false","S100A16"
"mrna","mrna","false","NACC2","false","NACC2"
"mrna","mrna","false","CPEB2","false","CPEB2"
"mrna","mrna","false","FAM241A","false","FAM241A"
"mrna","mrna","false","SLC43A2","false","SLC43A2"
"mrna","mrna","false","MSI2","false","MSI2"
"mrna","mrna","false","FRMD6","false","FRMD6"
"mrna","mrna","false","FGD4","false","FGD4"
"mrna","mrna","false","RAB3IP","false","RAB3IP"
"mrna","mrna","false","LENG8","false","LENG8"
"mrna","mrna","false","SLC46A1","false","SLC46A1"
"mrna","mrna","true","ZBTB47","false","ZBTB47"
"mrna","mrna","false","MTSS2","false","MTSS2"
"mrna","mrna","false","DSEL","false","DSEL"
"mrna","mrna","false","WDR20","false","WDR20"
"mrna","mrna","false","MCFD2","false","MCFD2"
"mrna","mrna","false","SSH2","false","SSH2"
"mrna","mrna","false","ZC3H12C","false","ZC3H12C"
"mrna","mrna","false","SLC9A7","false","SLC9A7"
"mrna","mrna","false","JAGN1","false","JAGN1"
"mrna","mrna","false","MAP3K21","false","MAP3K21"
"mrna","mrna","false","DDI2","false","DDI2"
"mrna","mrna","false","EIF1AD","false","EIF1AD"
"mrna","mrna","false","CIAO2A","false","CIAO2A"
"mrna","mrna","false","KIAA1109","false","KIAA1109"
"mrna","mrna","true","ARID5B","false","ARID5B"
"mrna","mrna","false","SPRY4","false","SPRY4"
"mrna","mrna","false","PPP1R14C","false","PPP1R14C"
"mrna","mrna","false","SLC19A3","false","SLC19A3"
"mrna","mrna","false","CPEB4","false","CPEB4"
"mrna","mrna","false","SLC35F5","false","SLC35F5"
"mrna","mrna","false","CHD9","false","CHD9"
"mrna","mrna","false","ZNF703","false","ZNF703"
"mrna","mrna","false","QSER1","false","QSER1"
"mrna","mrna","false","SHCBP1","false","SHCBP1"
"mrna","mrna","true","ZFHX4","false","ZFHX4"
"mrna","mrna","false","PANK3","false","PANK3"
"mrna","mrna","false","ATP13A3","false","ATP13A3"
"mrna","mrna","false","AHNAK","false","AHNAK"
"mrna","mrna","false","ZNF747","false","ZNF747"
"mrna","mrna","false","GIGYF1","false","GIGYF1"
"mrna","mrna","false","ZMAT3","false","ZMAT3"
"mrna","mrna","false","CACNG8","false","CACNG8"
"mrna","mrna","false","ENPP5","false","ENPP5"
"mrna","mrna","false","RAP2C","false","RAP2C"
"mrna","mrna","false","TNRC6C","false","TNRC6C"
"mrna","mrna","false","ZSWIM6","false","ZSWIM6"
"mrna","mrna","true","ZBTB4","false","ZBTB4"
"mrna","mrna","false","JCAD","false","JCAD"
"mrna","mrna","false","TAOK1","false","TAOK1"
"mrna","mrna","false","HEG1","false","HEG1"
"mrna","mrna","false","PLEKHH1","false","PLEKHH1"
"mrna","mrna","false","ATP8B2","false","ATP8B2"
"mrna","mrna","false","NIPAL3","false","NIPAL3"
"mrna","mrna","true","SALL4","false","SALL4"
"mrna","mrna","false","G2E3","false","G2E3"
"mrna","mrna","false","SETD5","false","SETD5"
"mrna","mrna","false","TENT5C","false","TENT5C"
"mrna","mrna","false","MTMR12","false","MTMR12"
"mrna","mrna","false","EXOC6","false","EXOC6"
"mrna","mrna","false","ANLN","false","ANLN"
"mrna","mrna","false","SLC38A2","false","SLC38A2"
"mrna","mrna","true","SIX4","false","SIX4"
"mrna","mrna","false","FAM13B","false","FAM13B"
"mrna","mrna","false","SAR1B","false","SAR1B"
"mrna","mrna","false","SOCS7","false","SOCS7"
"mrna","mrna","false","HIPK2","false","HIPK2"
"mrna","mrna","false","AFF4","false","AFF4"
"mrna","mrna","true","FOXP1","false","FOXP1"
"mrna","mrna","true","ZNF451","false","ZNF451"
"mrna","mrna","false","BAMBI","false","BAMBI"
"mrna","mrna","false","SH3BP4","false","SH3BP4"
"mrna","mrna","false","SLC7A11","false","SLC7A11"
"mrna","mrna","false","CD2AP","false","CD2AP"
