"info","is_mrna_tf","name","selected","shared name"
"mrna","false","ANKRD33B","false","ANKRD33B"
"mrna","false","ASPM","false","ASPM"
"mrna","false","CLEC12A","false","CLEC12A"
"mrna","false","SGO1","false","SGO1"
"mrna","false","CKAP2L","false","CKAP2L"
"mrna","false","KCTD12","false","KCTD12"
"mrna","false","SLC38A1","false","SLC38A1"
"mrna","false","NCAPG","false","NCAPG"
"mrna","false","HJURP","false","HJURP"
"mrna","false","CEP55","false","CEP55"
"mrna","false","IL21R","false","IL21R"
"mrna","false","PILRB","false","PILRB"
"mrna","false","RPL13A","false","RPL13A"
"mrna","false","MELK","false","MELK"
"mrna","false","KIAA0040","false","KIAA0040"
"mrna","false","GCNT3","false","GCNT3"
"mrna","false","H2AC11","false","H2AC11"
"mrna","false","H4C3","false","H4C3"
"mrna","false","GATD3A","false","GATD3A"
"mrna","false","TOP2A","false","TOP2A"
"mrna","false","TFPI","false","TFPI"
"mrna","false","PTPN7","false","PTPN7"
"mrna","false","MKI67","false","MKI67"
"mrna","false","KIFC1","false","KIFC1"
"mrna","true","HOXB6","false","HOXB6"
"mrna","true","HOXA10","false","HOXA10"
"mrna","true","GATA3","false","GATA3"
"mrna","true","FOXM1","false","FOXM1"
"mrna","true","EN2","false","EN2"
"mrna","true","E2F2","false","E2F2"
"mrna","false","COL4A1","false","COL4A1"
"mrna","false","COL1A1","false","COL1A1"
"mrna","false","CENPF","false","CENPF"
"mrna","false","CDKN1A","false","CDKN1A"
"mrna","false","CDK1","false","CDK1"
"mrna","false","CCND1","false","CCND1"
"mirna",,"mir-18a-3p","false","mir-18a-3p"
"mirna",,"mir-487a-3p","false","mir-487a-3p"
"mirna",,"mir-330-3p","false","mir-330-3p"
"mirna",,"mir-940","false","mir-940"
"mirna",,"mir-485-5p","false","mir-485-5p"
"mirna",,"mir-1179","false","mir-1179"
"mirna",,"mir-24-1-5p","false","mir-24-1-5p"
"mirna",,"mir-3943","false","mir-3943"
"mirna",,"mir-181c-5p","false","mir-181c-5p"
"mirna",,"mir-101-5p","false","mir-101-5p"
"mirna",,"mir-149-3p","false","mir-149-3p"
"mirna",,"mir-504-5p","false","mir-504-5p"
"mirna",,"mir-432-5p","false","mir-432-5p"
"mirna",,"mir-145-5p","false","mir-145-5p"
"mirna",,"mir-206","false","mir-206"
"mirna",,"mir-1-3p","false","mir-1-3p"
"mirna",,"mir-1243","false","mir-1243"
"mirna",,"mir-29c-3p","false","mir-29c-3p"
"mirna",,"mir-7-5p","false","mir-7-5p"
"mirna",,"mir-199b-3p","false","mir-199b-3p"
"mirna",,"mir-199a-3p","false","mir-199a-3p"
"mirna",,"mir-331-3p","false","mir-331-3p"
"mirna",,"mir-185-3p","false","mir-185-3p"
"mirna",,"mir-1226-3p","false","mir-1226-3p"
"mirna",,"mir-654-3p","false","mir-654-3p"
"mirna",,"mir-495-3p","false","mir-495-3p"
"mirna",,"mir-185-5p","false","mir-185-5p"
"mirna",,"mir-671-5p","false","mir-671-5p"
"dummy",,"","false","mir-142-5p/mir-18a-3p"
"mirna",,"mir-142-5p","false","mir-142-5p"
"dummy",,"","false","mir-509-3p/mir-107"
"dummy",,"","false","mir-509-3p/mir-218-5p"
"mirna",,"mir-509-3p","false","mir-509-3p"
"dummy",,"","false","mir-31-5p/mir-218-5p"
"dummy",,"","false","mir-218-5p/mir-107"
"mirna",,"mir-218-5p","false","mir-218-5p"
"dummy",,"","false","mir-154-3p/mir-487a-3p"
"mirna",,"mir-154-3p","false","mir-154-3p"
"dummy",,"","false","mir-107/mir-330-3p"
"dummy",,"","false","mir-129-5p/mir-149-5p"
"dummy",,"","false","mir-23b-5p/mir-940"
"mirna",,"mir-23b-5p","false","mir-23b-5p"
"dummy",,"","false","mir-142-3p/mir-29b-3p"
"mirna",,"mir-142-3p","false","mir-142-3p"
"dummy",,"","false","mir-421/mir-181c-5p"
"mirna",,"mir-421","false","mir-421"
"dummy",,"","false","mir-126-5p/mir-181c-5p"
"mirna",,"mir-126-5p","false","mir-126-5p"
"dummy",,"","false","mir-107/mir-485-5p"
"dummy",,"","false","mir-514a-3p/mir-1179"
"mirna",,"mir-514a-3p","false","mir-514a-3p"
"dummy",,"","false","mir-455-5p/mir-103a-2-5p"
"mirna",,"mir-455-5p","false","mir-455-5p"
"dummy",,"","false","mir-103a-2-5p/mir-24-1-5p"
"mirna",,"mir-103a-2-5p","false","mir-103a-2-5p"
"dummy",,"","false","mir-146b-3p/mir-3943"
"mirna",,"mir-146b-3p","false","mir-146b-3p"
"dummy",,"","false","mir-214-5p/mir-181c-5p"
"mirna",,"mir-214-5p","false","mir-214-5p"
"dummy",,"","false","mir-770-5p/mir-7-5p"
"mirna",,"mir-770-5p","false","mir-770-5p"
"dummy",,"","false","mir-124-3p/mir-101-5p"
"dummy",,"","false","mir-124-3p/mir-338-5p"
"mirna",,"mir-124-3p","false","mir-124-3p"
"dummy",,"","false","mir-490-3p/mir-149-3p"
"mirna",,"mir-490-3p","false","mir-490-3p"
"dummy",,"","false","mir-338-3p/mir-766-3p"
"mirna",,"mir-338-3p","false","mir-338-3p"
"dummy",,"","false","mir-129-5p/mir-29c-3p"
"mirna",,"mir-129-5p","false","mir-129-5p"
"dummy",,"","false","mir-125a-3p/mir-504-5p"
"mirna",,"mir-125a-3p","false","mir-125a-3p"
"dummy",,"","false","mir-22-5p/mir-7-5p"
"dummy",,"","false","mir-22-5p/mir-7-2-3p"
"dummy",,"","false","mir-766-3p/mir-432-5p"
"dummy",,"","false","mir-330-5p/mir-126-5p"
"dummy",,"","false","mir-766-3p/mir-31-5p"
"dummy",,"","false","mir-766-3p/mir-206"
"dummy",,"","false","mir-1229-3p/mir-221-3p"
"dummy",,"","false","mir-935/mir-133a-3p"
"dummy",,"","false","mir-1229-3p/mir-330-5p"
"dummy",,"","false","mir-1229-3p/mir-133a-3p"
"dummy",,"","false","mir-935/mir-22-5p"
"dummy",,"","false","mir-378a-5p/mir-133a-3p"
"mirna",,"mir-378a-5p","false","mir-378a-5p"
"dummy",,"","false","mir-222-3p/mir-1224-5p"
"mirna",,"mir-222-3p","false","mir-222-3p"
"dummy",,"","false","mir-1224-5p/mir-22-5p"
"dummy",,"","false","mir-22-5p/mir-133a-3p"
"mirna",,"mir-22-5p","false","mir-22-5p"
"dummy",,"","false","mir-1229-3p/mir-145-5p"
"dummy",,"","false","mir-1229-3p/mir-22-5p"
"dummy",,"","false","mir-133a-3p/mir-145-5p"
"dummy",,"","false","mir-133a-3p/mir-1-3p"
"dummy",,"","false","mir-221-3p/mir-22-5p"
"dummy",,"","false","mir-31-5p/mir-133a-3p"
"dummy",,"","false","mir-24-3p/mir-31-5p"
"mirna",,"mir-24-3p","false","mir-24-3p"
"dummy",,"","false","mir-1298-5p/mir-330-5p"
"mirna",,"mir-1298-5p","false","mir-1298-5p"
"dummy",,"","false","mir-221-3p/mir-1224-5p"
"mirna",,"mir-221-3p","false","mir-221-3p"
"dummy",,"","false","mir-133a-3p/mir-206"
"dummy",,"","false","mir-1224-5p/mir-222-5p"
"mirna",,"mir-1224-5p","false","mir-1224-5p"
"dummy",,"","false","mir-1229-3p/mir-1-3p"
"dummy",,"","false","mir-330-5p/mir-133a-3p"
"mirna",,"mir-330-5p","false","mir-330-5p"
"dummy",,"","false","mir-766-3p/mir-1243"
"mirna",,"mir-766-3p","false","mir-766-3p"
"dummy",,"","false","mir-425-3p/mir-126-5p"
"mirna",,"mir-425-3p","false","mir-425-3p"
"dummy",,"","false","mir-338-5p/mir-29b-3p"
"dummy",,"","false","mir-149-5p/mir-338-5p"
"dummy",,"","false","mir-411-3p/mir-491-3p"
"dummy",,"","false","mir-144-3p/mir-7-5p"
"dummy",,"","false","mir-144-3p/mir-491-3p"
"mirna",,"mir-144-3p","false","mir-144-3p"
"dummy",,"","false","mir-411-3p/mir-338-5p"
"mirna",,"mir-411-3p","false","mir-411-3p"
"dummy",,"","false","mir-338-5p/mir-29c-3p"
"dummy",,"","false","mir-491-3p/mir-29c-3p"
"mirna",,"mir-491-3p","false","mir-491-3p"
"dummy",,"","false","mir-338-5p/mir-7-5p"
"mirna",,"mir-338-5p","false","mir-338-5p"
"dummy",,"","false","mir-149-5p/mir-24-3p"
"mirna",,"mir-149-5p","false","mir-149-5p"
"dummy",,"","false","mir-107/mir-1298-5p"
"dummy",,"","false","mir-31-5p/mir-676-3p"
"dummy",,"","false","mir-31-5p/mir-199b-3p"
"dummy",,"","false","mir-222-5p/mir-31-5p"
"mirna",,"mir-222-5p","false","mir-222-5p"
"dummy",,"","false","mir-31-5p/mir-199a-3p"
"mirna",,"mir-31-5p","false","mir-31-5p"
"dummy",,"","false","mir-676-3p/mir-331-3p"
"mirna",,"mir-676-3p","false","mir-676-3p"
"dummy",,"","false","mir-29b-3p/mir-330-5p"
"dummy",,"","false","mir-29b-3p/mir-7-2-3p"
"mirna",,"mir-29b-3p","false","mir-29b-3p"
"dummy",,"","false","mir-133a-3p/mir-766-3p"
"dummy",,"","false","mir-133a-3p/mir-29b-3p"
"mirna",,"mir-133a-3p","false","mir-133a-3p"
"dummy",,"","false","mir-107/mir-133a-3p"
"mirna",,"mir-107","false","mir-107"
"dummy",,"","false","mir-1229-3p/mir-185-3p"
"dummy",,"","false","mir-1229-3p/mir-1226-3p"
"dummy",,"","false","mir-1229-3p/mir-654-3p"
"mirna",,"mir-1229-3p","false","mir-1229-3p"
"dummy",,"","false","mir-345-5p/mir-107"
"mirna",,"mir-345-5p","false","mir-345-5p"
"dummy",,"","false","mir-582-5p/mir-410-3p"
"mirna",,"mir-582-5p","false","mir-582-5p"
"dummy",,"","false","mir-410-3p/mir-495-3p"
"mirna",,"mir-410-3p","false","mir-410-3p"
"dummy",,"","false","mir-935/mir-410-3p"
"mirna",,"mir-935","false","mir-935"
