"info","is_mrna_tf","name","selected","shared.name","miRfamily","mirnaCluster"
"mirna","","mir-95-3p","false","mir-95-3p","miR-95-3p","hsa-mir-95"
"dummy","","","false","mir-95-3p/mir-200a-3p",NA,NA
"mirna","","mir-34b-3p","false","mir-34b-3p","miR-34b-3p","hsa-mir-34b,hsa-mir-34c"
"dummy","","","false","mir-34b-3p/mir-223-5p",NA,NA
"mirna","","mir-196b-5p","false","mir-196b-5p","miR-196-5p","hsa-mir-196b"
"dummy","","","false","mir-196b-5p/mir-582-5p",NA,NA
"mirna","","mir-188-3p","false","mir-188-3p","miR-188-3p","hsa-mir-532,hsa-mir-188,hsa-mir-500a,hsa-mir-362,hsa-mir-501,hsa-mir-500b,hsa-mir-660"
"dummy","","","false","mir-188-3p/mir-497-5p",NA,NA
"mirna","","mir-542-3p","false","mir-542-3p","miR-542-3p","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424"
"dummy","","","false","mir-542-3p/mir-20b-5p",NA,NA
"mirna","","mir-96-5p","false","mir-96-5p","miR-96-5p/1271-5p","hsa-mir-182,hsa-mir-96,hsa-mir-183"
"dummy","","","false","mir-96-5p/mir-582-3p",NA,NA
"mirna","","mir-940","false","mir-940","miR-940/6808-5p/6893-5p","hsa-mir-3677,hsa-mir-940,hsa-mir-4717"
"dummy","","","false","mir-940/mir-200a-3p",NA,NA
"mirna","","mir-378a-5p","false","mir-378a-5p","miR-378a-5p","hsa-mir-378a"
"dummy","","","false","mir-378a-5p/mir-539-5p",NA,NA
"mirna","","mir-9-5p","false","mir-9-5p","miR-9-5p","hsa-mir-9-1"
"dummy","","","false","mir-9-5p/mir-32-3p",NA,NA
"mirna","","mir-335-5p","false","mir-335-5p","miR-335-5p","hsa-mir-335"
"dummy","","","false","mir-335-5p/mir-29c-3p",NA,NA
"mirna","","mir-20b-5p","false","mir-20b-5p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
"dummy","","","false","mir-20b-5p/mir-195-5p",NA,NA
"mirna","","mir-382-5p","false","mir-382-5p","miR-382-5p","hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655,hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377"
"dummy","","","false","mir-382-5p/mir-542-3p",NA,NA
"mirna","","mir-141-5p","false","mir-141-5p","miR-141-5p","hsa-mir-200c,hsa-mir-141"
"dummy","","","false","mir-141-5p/mir-615-3p",NA,NA
"mirna","","mir-7-5p","false","mir-7-5p","miR-7-5p","hsa-mir-7-1"
"dummy","","","false","mir-7-5p/mir-642a-5p",NA,NA
"mirna","","mir-582-5p","false","mir-582-5p","miR-582-5p","hsa-mir-582"
"dummy","","","false","mir-582-5p/mir-497-5p",NA,NA
"mirna","","mir-431-3p","false","mir-431-3p","miR-431-3p","hsa-mir-337,hsa-mir-665,hsa-mir-431,hsa-mir-433,hsa-mir-127,hsa-mir-432,hsa-mir-136"
"dummy","","","false","mir-431-3p/mir-381-3p",NA,NA
"mirna","","mir-199a-3p","false","mir-199a-3p","miR-199-3p","hsa-mir-199a-1"
"dummy","","","false","mir-199a-3p/mir-615-3p",NA,NA
"mirna","","mir-199b-3p","false","mir-199b-3p","miR-199-3p","hsa-mir-199b,hsa-mir-3154"
"dummy","","","false","mir-199b-3p/mir-615-3p",NA,NA
"mirna","","mir-503-5p","false","mir-503-5p","miR-503-5p","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424"
"dummy","","","false","mir-503-5p/mir-21-3p",NA,NA
"mirna","","mir-23c","false","mir-23c","miR-23-3p","hsa-mir-23c"
"dummy","","","false","mir-23c/mir-1180-3p",NA,NA
"mirna","","mir-141-3p","false","mir-141-3p","miR-141-3p/200a-3p","hsa-mir-200c,hsa-mir-141"
"dummy","","","false","mir-141-3p/mir-23c",NA,NA
"mirna","","mir-30a-5p","false","mir-30a-5p","miR-30-5p","hsa-mir-30a"
"dummy","","","false","mir-30a-5p/mir-29c-3p",NA,NA
"mirna","","mir-100-3p","false","mir-100-3p","miR-100-3p","hsa-let-7a-2,hsa-mir-100"
"dummy","","","false","mir-100-3p/mir-29c-3p",NA,NA
"mirna","","mir-203a-3p","false","mir-203a-3p",NA,"hsa-mir-203a,hsa-mir-203b"
"dummy","","","false","mir-203a-3p/mir-497-5p",NA,NA
"mirna","","mir-376a-3p","false","mir-376a-3p","miR-376-3p","hsa-mir-543,hsa-mir-495,hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655"
"dummy","","","false","mir-376a-3p/mir-143-3p",NA,NA
"mirna","","mir-329-3p","false","mir-329-3p","miR-329-3p/362-3p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495"
"dummy","","","false","mir-329-3p/mir-377-3p",NA,NA
"mirna","","mir-34c-3p","false","mir-34c-3p","miR-34c-3p","hsa-mir-34b,hsa-mir-34c"
"dummy","","","false","mir-34c-3p/mir-653-5p",NA,NA
"mirna","","mir-181d-5p","false","mir-181d-5p","miR-181-5p","hsa-mir-181c,hsa-mir-181d"
"dummy","","","false","mir-181d-5p/mir-200b-3p",NA,NA
"mirna","","mir-200b-3p","false","mir-200b-3p","miR-200bc-3p/429","hsa-mir-200b,hsa-mir-200a,hsa-mir-429"
"dummy","","","false","mir-200b-3p/mir-181c-5p",NA,NA
"mirna","","mir-487a-3p","false","mir-487a-3p","miR-154-3p/487-3p","hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655,hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377"
"dummy","","","false","mir-487a-3p/mir-382-5p",NA,NA
"mirna","","mir-145-5p","false","mir-145-5p","miR-145-5p","hsa-mir-143,hsa-mir-145"
"dummy","","","false","mir-145-5p/mir-181d-5p",NA,NA
"dummy","","","false","mir-940/mir-497-5p",NA,NA
"mirna","","mir-545-5p","false","mir-545-5p","miR-545-5p","hsa-mir-545,hsa-mir-374a"
"dummy","","","false","mir-545-5p/mir-96-5p",NA,NA
"mirna","","mir-615-3p","false","mir-615-3p","miR-615-3p","hsa-mir-615"
"dummy","","","false","mir-615-3p/mir-204-5p",NA,NA
"mirna","","let-7f-2-3p","false","let-7f-2-3p","let-7f-2-3p/1185-3p","hsa-mir-98,hsa-let-7f-2"
"dummy","","","false","let-7f-2-3p/mir-215-5p",NA,NA
"dummy","","","false","mir-141-5p/mir-326",NA,NA
"mirna","","mir-429","false","mir-429","miR-200bc-3p/429","hsa-mir-200b,hsa-mir-200a,hsa-mir-429"
"dummy","","","false","mir-429/mir-362-5p",NA,NA
"mirna","","mir-150-5p","false","mir-150-5p","miR-150-5p","hsa-mir-150"
"dummy","","","false","mir-150-5p/mir-326",NA,NA
"dummy","","","false","mir-188-3p/mir-192-3p",NA,NA
"mirna","","let-7c-5p","false","let-7c-5p","let-7-5p/98-5p","hsa-mir-99a,hsa-let-7c"
"dummy","","","false","let-7c-5p/mir-337-3p",NA,NA
"dummy","","","false","mir-20b-5p/mir-378a-3p",NA,NA
"dummy","","","false","mir-181d-5p/mir-3690",NA,NA
"mirna","","mir-495-3p","false","mir-495-3p","miR-495-3p","hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495,hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1"
"dummy","","","false","mir-495-3p/mir-21-3p",NA,NA
"dummy","","","false","mir-495-3p/mir-760",NA,NA
