"info","is_mrna_tf","name","selected","shared.name","updown","miRfamily","mirnaCluster"
"mirna","","mir-30b-5p","false","mir-30b-5p","mirna","miR-30-5p","hsa-mir-30b,hsa-mir-30d"
"dummy","","","false","mir-30b-5p/mir-494-3p","dummy",NA,NA
"dummy","","","false","mir-30b-5p/mir-548f-3p","dummy",NA,NA
"mirna","","mir-33a-5p","false","mir-33a-5p","mirna","miR-33-5p","hsa-mir-33a"
"dummy","","","false","mir-33a-5p/mir-455-3p","dummy",NA,NA
"mirna","","mir-1228-3p","false","mir-1228-3p","mirna","miR-1228-3p","hsa-mir-1228"
"dummy","","","false","mir-1228-3p/mir-424-5p","dummy",NA,NA
"mirna","","mir-224-5p","false","mir-224-5p","mirna","miR-224-5p","hsa-mir-224,hsa-mir-452"
"dummy","","","false","mir-224-5p/mir-196b-5p","dummy",NA,NA
"mirna","","mir-136-5p","false","mir-136-5p","mirna","miR-136-5p","hsa-mir-665,hsa-mir-431,hsa-mir-433,hsa-mir-127,hsa-mir-432,hsa-mir-136"
"dummy","","","false","mir-136-5p/mir-424-5p","dummy",NA,NA
"dummy","","","false","mir-224-5p/mir-424-5p","dummy",NA,NA
"mirna","","mir-32-3p","false","mir-32-3p","mirna","miR-32-3p","hsa-mir-32"
"dummy","","","false","mir-32-3p/mir-20b-5p","dummy",NA,NA
"mirna","","mir-877-5p","false","mir-877-5p","mirna","miR-877-5p","hsa-mir-877"
"dummy","","","false","mir-877-5p/mir-136-5p","dummy",NA,NA
"mirna","","mir-181d-5p","false","mir-181d-5p","mirna","miR-181-5p","hsa-mir-181c,hsa-mir-181d"
"dummy","","","false","mir-181d-5p/mir-215-5p","dummy",NA,NA
"mirna","","mir-424-5p","false","mir-424-5p","mirna","miR-15-5p/16-5p/195-5p/424-5p/497-5p","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424"
"dummy","","","false","mir-424-5p/mir-1-3p","dummy",NA,NA
"mirna","","mir-767-5p","false","mir-767-5p","mirna","miR-767-5p","hsa-mir-105-1,hsa-mir-767,hsa-mir-105-2"
"dummy","","","false","mir-767-5p/mir-135b-3p","dummy",NA,NA
"mirna","","mir-1270","false","mir-1270","mirna","miR-1270",NA
"dummy","","","false","mir-1270/mir-877-5p","dummy",NA,NA
"mirna","","mir-455-3p","false","mir-455-3p","mirna",NA,"hsa-mir-455"
"dummy","","","false","mir-455-3p/mir-424-5p","dummy",NA,NA
"mirna","","mir-23b-5p","false","mir-23b-5p","mirna","miR-23-5p","hsa-mir-23b,hsa-mir-27b,hsa-mir-3074,hsa-mir-24-1"
"dummy","","","false","mir-23b-5p/mir-485-5p","dummy",NA,NA
"mirna","","let-7c-5p","false","let-7c-5p","mirna","let-7-5p/98-5p","hsa-mir-99a,hsa-let-7c"
"dummy","","","false","let-7c-5p/mir-196a-5p","dummy",NA,NA
"mirna","","mir-153-3p","false","mir-153-3p","mirna","miR-153-3p","hsa-mir-153-1"
"dummy","","","false","mir-153-3p/mir-196a-5p","dummy",NA,NA
"mirna","","mir-942-5p","false","mir-942-5p","mirna","miR-942-5p","hsa-mir-942"
"dummy","","","false","mir-942-5p/mir-129-5p","dummy",NA,NA
"mirna","","mir-760","false","mir-760","mirna","miR-760","hsa-mir-760"
"dummy","","","false","mir-760/mir-548e-3p","dummy",NA,NA
"mirna","","mir-18b-5p","false","mir-18b-5p","mirna","miR-18-5p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
"dummy","","","false","mir-18b-5p/mir-30b-5p","dummy",NA,NA
"dummy","","","false","mir-30b-5p/mir-9-3p","dummy",NA,NA
"mirna","","mir-301a-3p","false","mir-301a-3p","mirna","miR-130-3p/301-3p/454-3p","hsa-mir-301a"
"dummy","","","false","mir-301a-3p/mir-301b-3p","dummy",NA,NA
"mirna","","mir-937-3p","false","mir-937-3p","mirna","miR-937-3p","hsa-mir-937"
"dummy","","","false","mir-937-3p/mir-548f-3p","dummy",NA,NA
"mirna","","mir-550a-3p","false","mir-550a-3p","mirna","miR-200c-5p/550a-3p","hsa-mir-550a-1,hsa-mir-550b-1"
"dummy","","","false","mir-550a-3p/mir-455-3p","dummy",NA,NA
"mirna","","mir-210-3p","false","mir-210-3p","mirna","miR-210-3p","hsa-mir-210"
"dummy","","","false","mir-210-3p/mir-455-3p","dummy",NA,NA
"mirna","","mir-34a-3p","false","mir-34a-3p","mirna","miR-34a-3p","hsa-mir-34a"
"dummy","","","false","mir-34a-3p/mir-320c","dummy",NA,NA
"mirna","","mir-20b-5p","false","mir-20b-5p","mirna","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
"dummy","","","false","mir-20b-5p/mir-345-5p","dummy",NA,NA
"mirna","","mir-31-5p","false","mir-31-5p","mirna","miR-31-5p","hsa-mir-31"
"dummy","","","false","mir-31-5p/let-7f-2-3p","dummy",NA,NA
"mirna","","let-7g-3p","false","let-7g-3p","mirna","let-7a-2-3p/let-7g-3p","hsa-let-7g"
"dummy","","","false","let-7g-3p/mir-33a-5p","dummy",NA,NA
"mirna","","mir-365a-5p","false","mir-365a-5p","mirna","miR-365a-5p/365b-5p","hsa-mir-193b,hsa-mir-365a"
"dummy","","","false","mir-365a-5p/mir-455-3p","dummy",NA,NA
"mirna","","mir-215-5p","false","mir-215-5p","mirna","miR-192-5p/215-5p","hsa-mir-215,hsa-mir-194-1"
"dummy","","","false","mir-215-5p/mir-877-3p","dummy",NA,NA
"mirna","","mir-150-3p","false","mir-150-3p","mirna","miR-150-3p","hsa-mir-150"
"dummy","","","false","mir-150-3p/mir-663a","dummy",NA,NA
"mirna","","mir-1266-5p","false","mir-1266-5p","mirna","miR-1266-5p/4518","hsa-mir-1266"
"dummy","","","false","mir-1266-5p/mir-125a-3p","dummy",NA,NA
"mirna","","mir-129-5p","false","mir-129-5p","mirna","miR-129-5p","hsa-mir-129-1"
"dummy","","","false","mir-129-5p/mir-769-3p","dummy",NA,NA
"mirna","","mir-203a-3p","false","mir-203a-3p","mirna",NA,"hsa-mir-203a,hsa-mir-203b"
"dummy","","","false","mir-203a-3p/mir-19a-3p","dummy",NA,NA
"mirna","","mir-651-5p","false","mir-651-5p","mirna","miR-651-5p","hsa-mir-651"
"dummy","","","false","mir-651-5p/mir-455-3p","dummy",NA,NA
"dummy","","","false","mir-181d-5p/mir-642a-5p","dummy",NA,NA
"dummy","","","false","mir-424-5p/mir-940","dummy",NA,NA
"mirna","","mir-224-3p","false","mir-224-3p","mirna","miR-522-3p","hsa-mir-224,hsa-mir-452"
"dummy","","","false","mir-224-3p/mir-424-5p","dummy",NA,NA
"mirna","","mir-16-1-3p","false","mir-16-1-3p","mirna","miR-16-1-3p","hsa-mir-16-1,hsa-mir-15a"
"dummy","","","false","mir-16-1-3p/mir-301b-3p","dummy",NA,NA
"mirna","","mir-545-5p","false","mir-545-5p","mirna","miR-545-5p","hsa-mir-545,hsa-mir-374a"
"dummy","","","false","mir-545-5p/mir-105-5p","dummy",NA,NA
"dummy","","","false","mir-33a-5p/mir-33b-5p","dummy",NA,NA
"mirna","","mir-135b-5p","false","mir-135b-5p","mirna","miR-135-5p","hsa-mir-135b"
"dummy","","","false","mir-135b-5p/mir-18a-3p","dummy",NA,NA
"dummy","","","false","mir-135b-5p/mir-589-3p","dummy",NA,NA
"dummy","","","false","mir-31-5p/mir-1288-3p","dummy",NA,NA
"mirna","","mir-552-3p","false","mir-552-3p","mirna","miR-552-3p","hsa-mir-552"
"dummy","","","false","mir-552-3p/mir-125a-3p","dummy",NA,NA
"dummy","","","false","mir-424-5p/mir-625-5p","dummy",NA,NA
"dummy","","","false","mir-31-5p/mir-877-3p","dummy",NA,NA
"dummy","","","false","mir-20b-5p/let-7c-5p","dummy",NA,NA
"mirna","","mir-149-5p","false","mir-149-5p","mirna","miR-149-5p","hsa-mir-149"
"dummy","","","false","mir-149-5p/mir-144-3p","dummy",NA,NA
"mirna","","mir-144-5p","false","mir-144-5p","mirna","miR-144-5p","hsa-mir-451a,hsa-mir-451b,hsa-mir-144,hsa-mir-4732"
"dummy","","","false","mir-144-5p/mir-144-3p","dummy",NA,NA
"mirna","","mir-30c-1-3p","false","mir-30c-1-3p","mirna","miR-30c-3p/6788-5p","hsa-mir-30e,hsa-mir-30c-1"
"dummy","","","false","mir-30c-1-3p/mir-181d-5p","dummy",NA,NA
"mirna","","mir-605-5p","false","mir-605-5p","mirna","miR-605-5p","hsa-mir-605"
"dummy","","","false","mir-605-5p/mir-455-3p","dummy",NA,NA
"dummy","","","false","mir-760/mir-629-3p","dummy",NA,NA
"mirna","","mir-1226-3p","false","mir-1226-3p","mirna","miR-1226-3p","hsa-mir-1226"
"dummy","","","false","mir-1226-3p/mir-629-3p","dummy",NA,NA
"dummy","","","false","mir-203a-3p/mir-1227-3p","dummy",NA,NA
"dummy","","","false","mir-203a-3p/mir-877-5p","dummy",NA,NA
"dummy","","","false","mir-424-5p/let-7g-3p","dummy",NA,NA
"dummy","","","false","mir-1226-3p/mir-1227-3p","dummy",NA,NA
"dummy","","","false","mir-203a-3p/mir-1226-3p","dummy",NA,NA
"dummy","","","false","mir-203a-3p/mir-33b-5p","dummy",NA,NA
"mirna","","mir-744-3p","false","mir-744-3p","mirna","miR-744-3p","hsa-mir-744"
"dummy","","","false","mir-744-3p/mir-1-3p","dummy",NA,NA
"mirna","","mir-1276","false","mir-1276","mirna","miR-1276","hsa-mir-1276"
