"info","is_mrna_tf","name","selected","shared.name","updown","miRfamily","mirnaCluster"
"mrna","false","TMEM178B","false","TMEM178B","Down",NA,NA
"mrna","false","ERVMER34-1","false","ERVMER34-1","Up",NA,NA
"mrna","false","PCP4L1","false","PCP4L1","Down",NA,NA
"mrna","false","ANKRD33B","false","ANKRD33B","Down",NA,NA
"mrna","false","RNF165","false","RNF165","Up",NA,NA
"mrna","false","PALM2AKAP2","false","PALM2AKAP2","Up",NA,NA
"mrna","false","C10orf105","false","C10orf105","Up",NA,NA
"mrna","false","NOMO3","false","NOMO3","Down",NA,NA
"mrna","false","CTXN1","false","CTXN1","Down",NA,NA
"mrna","false","SAMD12","false","SAMD12","Down",NA,NA
"mrna","false","FAM102A","false","FAM102A","Down",NA,NA
"mrna","true","ZNF699","false","ZNF699","Up",NA,NA
"mrna","false","GLDN","false","GLDN","Up",NA,NA
"mrna","false","NAT8L","false","NAT8L","Down",NA,NA
"mrna","true","ZNF678","false","ZNF678","Up",NA,NA
"mrna","false","SH3PXD2B","false","SH3PXD2B","Up",NA,NA
"mrna","false","ZADH2","false","ZADH2","Down",NA,NA
"mrna","false","HECTD4","false","HECTD4","Up",NA,NA
"mrna","false","ADGRD1","false","ADGRD1","Down",NA,NA
"mrna","false","PGM2L1","false","PGM2L1","Up",NA,NA
"mrna","false","NEGR1","false","NEGR1","Down",NA,NA
"mrna","false","RNF169","false","RNF169","Up",NA,NA
"mrna","false","FBXO33","false","FBXO33","Down",NA,NA
"mrna","false","RICTOR","false","RICTOR","Up",NA,NA
"mrna","false","PRR15","false","PRR15","Down",NA,NA
"mrna","false","C2orf69","false","C2orf69","Down",NA,NA
"mrna","true","GLIS3","false","GLIS3","Down",NA,NA
"mrna","false","BMPER","false","BMPER","Up",NA,NA
"mrna","false","CCDC71L","false","CCDC71L","Up",NA,NA
"mrna","false","PRICKLE2","false","PRICKLE2","Down",NA,NA
"mrna","false","PARP15","false","PARP15","Up",NA,NA
"mrna","false","IFNLR1","false","IFNLR1","Up",NA,NA
"mrna","false","TMEM30B","false","TMEM30B","Down",NA,NA
"mrna","false","DGKH","false","DGKH","Up",NA,NA
"mrna","false","PPTC7","false","PPTC7","Down",NA,NA
"mrna","false","PRUNE2","false","PRUNE2","Down",NA,NA
"mrna","false","AMOTL1","false","AMOTL1","Down",NA,NA
"mrna","true","ZNF827","false","ZNF827","Down",NA,NA
"mrna","false","LRATD1","false","LRATD1","Down",NA,NA
"mrna","true","TCF23","false","TCF23","Up",NA,NA
"mrna","true","E2F7","false","E2F7","Up",NA,NA
"mrna","false","ARHGAP42","false","ARHGAP42","Up",NA,NA
"mrna","false","NOL4L","false","NOL4L","Down",NA,NA
"mrna","false","AMER1","false","AMER1","Up",NA,NA
