miRNA1,miRNA2,miRNAPair,CancerTypes,count,BLCA,BRCA,CESC,COAD,ESCA,HNSC,KICH,KIRC,KIRP,LGG,LIHC,LUAD,LUSC,PAAD,PCPG,PRAD,SARC,STAD,TGCT,THCA,THYM,UCEC
hsa-mir-183-5p,hsa-mir-96-5p,hsa-mir-183-5p/hsa-mir-96-5p,HNSC - UCEC - LUAD - THYM - TGCT - LGG - LIHC - STAD - BLCA,9,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,3.766478342749529E-4,0.03333333333333333,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0017421602787456446,0.0,0.002398081534772182,0.05
hsa-mir-182-5p,hsa-mir-96-5p,hsa-mir-182-5p/hsa-mir-96-5p,HNSC - TGCT - PRAD - LGG - STAD - BLCA,6,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,3.766478342749529E-4,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0011737089201877935,0.0017421602787456446,0.0,0.0,0.0
hsa-mir-106a-5p,hsa-mir-20b-5p,hsa-mir-106a-5p/hsa-mir-20b-5p,BRCA - THYM - TGCT - PRAD - BLCA,5,0.0018214936247723133,0.005813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0017421602787456446,0.0,0.002398081534772182,0.0
hsa-mir-17-5p,hsa-mir-19a-3p,hsa-mir-17-5p/hsa-mir-19a-3p,BRCA - THYM - SARC - STAD - BLCA,5,0.0018214936247723133,0.005813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001326259946949602,0.0011737089201877935,0.0,0.0,0.002398081534772182,0.0
hsa-mir-17-5p,hsa-mir-20a-5p,hsa-mir-17-5p/hsa-mir-20a-5p,BRCA - THYM - LIHC - BLCA - STAD,5,0.0018214936247723133,0.005813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0,0.0,0.002398081534772182,0.0
hsa-mir-18a-5p,hsa-mir-20a-3p,hsa-mir-18a-5p/hsa-mir-20a-3p,HNSC - SARC - LIHC - BLCA - STAD,5,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.001326259946949602,0.0011737089201877935,0.0,0.0,0.0,0.0
hsa-mir-18a-5p,hsa-mir-20a-5p,hsa-mir-18a-5p/hsa-mir-20a-5p,HNSC - LUAD - THYM - LUSC - BLCA,5,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002398081534772182,0.0
hsa-mir-19a-3p,hsa-mir-19b-3p,hsa-mir-19a-3p/hsa-mir-19b-3p,BRCA - HNSC - LUSC - SARC - STAD,5,0.0,0.005813953488372093,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.001326259946949602,0.0011737089201877935,0.0,0.0,0.0,0.0
hsa-mir-9-3p,hsa-mir-9-5p,hsa-mir-9-3p/hsa-mir-9-5p,HNSC - LUSC - SARC - TGCT - BLCA,5,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.001326259946949602,0.0,0.0017421602787456446,0.0,0.0,0.0
hsa-mir-106a-5p,hsa-mir-17-5p,hsa-mir-106a-5p/hsa-mir-17-5p,THYM - LUSC - STAD - BLCA,4,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0011737089201877935,0.0,0.0,0.002398081534772182,0.0
