TF,count_hgnc_symbol_tf,BLCATFCount,BRCATFCount,CESCTFCount,COADTFCount,ESCATFCount,HNSCTFCount,ACCTFCount,KIRCTFCount,KIRPTFCount,LGGTFCount,LIHCTFCount,LUADTFCount,LUSCTFCount,PAADTFCount,PCPGTFCount,PRADTFCount,SARCTFCount,STADTFCount,TGCTTFCount,THCATFCount,THYMTFCount,UCECTFCount,DLBCTFCount,OVTFCount,SKCMTFCount,UVMTFCount
NFE2L1,161,25,10,,,1,4,,,,12,8,2,,,,,63,25,8,,2,1,,,,
REL,23,1,,,1,,,,,,6,,1,,,,,,,13,1,,,,,,
E2F5,20,1,1,,,,1,,,,1,,,,,,,,1,2,,13,,,,,
FOXP2,6,,,,,,,,,,3,,,,,,,,3,,,,,,,,
BHLHE40,5,,1,,,,,,,,3,,,,,,,,,1,,,,,,,
ZFX,211,,4,,,,7,,,1,27,1,2,,,,,48,97,20,4,,,,,,
LYL1,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
RARA,27,4,,,,,,,,,12,,,1,,,,,4,3,1,2,,,,,
TBX21,4,2,,,,,,,,,2,,,,,,,,,,,,,,,,
CREB1,74,,16,,1,,1,,,,16,1,2,,,,3,8,14,10,,2,,,,,
MYCN,15,,,,,,,,,,10,,,,,,,,,5,,,,,,,
TCF12,116,10,10,,1,,2,,,,21,,1,,,,,19,29,16,,5,1,,,,1
BACH2,109,38,12,,1,,,,,,25,,,,1,,,3,22,5,2,,,,,,
FOS,29,4,3,,,,,,,,12,1,,,,,1,3,,3,1,1,,,,,
KMT2A,65,2,1,,,,,,,,,,1,,,,,17,44,,,,,,,,
TEAD1,615,20,42,,9,,8,,1,,118,1,5,,1,,1,223,131,29,4,21,1,,,,
SNAPC4,5,,1,,,,,,,,,,1,,,,,1,1,1,,,,,,,
ZNF740,67,3,6,,,,,,,1,41,,1,,,,,4,7,4,,,,,,,
NFATC2,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
NR2C2,281,25,5,,,,1,,1,1,60,1,,,,1,2,84,77,23,,,,,,,
ZBED1,7,1,,,,,1,,,,,,,,,,,,,,,5,,,,,
SP3,122,,8,,,,2,,,,93,,,,2,,,8,3,1,4,,1,,,,
NFIC,24,4,6,,,,,,,,4,,,,,,,,7,3,,,,,,,
ELF5,1,,,,,,,,,1,,,,,,,,,,,,,,,,,
FOXO1,51,13,9,,1,,,,,,5,1,,,,,1,4,2,8,1,6,,,,,
HNF4A,6,,,,,,,,,,,1,,,,,,,2,3,,,,,,,
STAT4,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
TFDP1,64,1,,1,,,1,,,,54,,2,,,,,4,,,,1,,,,,
FOXM1,35,3,,,,,,,,,23,1,,,,,,2,2,3,1,,,,,,
GATA2,13,1,,,,,,,,,4,,,,,,,,7,,,1,,,,,
ETS1,471,23,17,,7,1,2,,1,1,228,3,3,6,,,,44,119,11,3,1,1,,,,
CUX1,71,10,5,,,,3,,,,7,,4,,,,,3,33,4,,1,1,,,,
RUNX2,73,4,3,,2,,7,2,,,16,1,1,,2,,,12,8,10,1,3,1,,,,
GRHL2,10,1,,,,,,,,,,,,,,,,,2,7,,,,,,,
SPIB,22,6,2,,,,,,,1,,,1,,,,,3,7,,2,,,,,,
ATF1,6,,1,,,,,,,,,,,,,,,,,4,,,,,1,,
TBP,8,,1,,,,,,,,2,,,,,,,4,,,,1,,,,,
ATF2,7,2,3,,,,,,,,,,1,,,,,,1,,,,,,,,
NR5A2,1,,,,,,,,,,,,,,,,1,,,,,,,,,,
SMAD4,19,2,1,,,,,,,2,3,,1,,,,,2,2,4,,2,,,,,
BHLHE22,4,1,,,,,,,,,1,,,,,,,,,2,,,,,,,
NR1H3,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
ZBTB7A,29,4,2,,,,,,,,6,1,,,,,,6,1,5,1,3,,,,,
FOXO3,93,17,4,,,,,,,,16,,,,,,,32,5,12,,5,2,,,,
ZNF263,10,,,,,,,,,,5,,,,,,,2,,3,,,,,,,
TCF3,10,,,,,,,,,,2,,,,,,1,,4,,1,2,,,,,
ATF3,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
AHR,63,4,9,,,,6,,,,10,2,1,,,,,1,15,14,,1,,,,,
NR4A1,9,3,5,,,,,,,,,,,,,,,,,,1,,,,,,
ETV1,57,2,5,,,,,,,,10,,,2,,,,18,19,1,,,,,,,
LEF1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
RELA,82,,,,,,,,,,55,,,,,,,16,2,9,,,,,,,
IRF4,101,14,20,,2,2,3,,,,21,,1,1,,,,11,11,7,,8,,,,,
TCF7L2,16,,1,1,,,,,,,3,,,,1,,,2,,4,,3,,,1,,
TP53,214,3,1,,,,5,,,1,114,,2,,,,,26,22,3,1,36,,,,,
NR2F1,12,2,2,,,,,,,,2,,,,,,,,5,1,,,,,,,
MITF,28,1,1,,2,,1,,,,2,,,,,,1,5,14,1,,,,,,,
ZNF384,51,6,,,,,1,,,,27,,,,,,,8,1,5,2,,,,,1,
CEBPB,8,3,,,,,,,,,2,,,1,,,,,,1,,1,,,,,
FOXP1,99,11,4,,,,,,,1,33,,2,1,,,,18,15,9,,3,2,,,,
TP73,3,,1,,,,,,,,,,,,,,,1,1,,,,,,,,
NR1H2,9,,1,,,,,,,,4,,,,,,,,3,1,,,,,,,
HNF4G,4,,1,,,,,,,,2,,,,,,,,1,,,,,,,,
ARID3A,37,1,6,,,,,,,1,19,,2,,,,,1,4,1,,1,1,,,,
EGR1,117,27,14,,,1,,,,2,46,2,1,1,,,,,5,13,,4,,,1,,
IRF9,3,,,,,,,,,,,,,,,,,1,,2,,,,,,,
MAZ,93,3,7,1,,,1,,,,55,,1,1,,,,8,6,8,,2,,,,,
SP1,1001,68,62,2,,,18,,,6,638,,9,,4,6,11,59,50,10,5,49,3,1,,,
MAFF,3,,,,,,,,,,,,,,,,,2,,,,1,,,,,
IKZF1,24,3,3,,1,1,1,,,,1,,4,,,,,4,5,,1,,,,,,
TAL1,18,,2,,,,,,,,,,,,,,,2,11,,,3,,,,,
SIX2,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
ATF4,7,,,,,,,,,,5,1,,,,,,1,,,,,,,,,
FOSL2,14,1,1,,,,,,,,5,,,1,,,,,,1,,5,,,,,
PRDM1,56,15,,,,,,,,,21,,,2,,,1,,11,2,1,2,,1,,,
HINFP,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
NFKB1,148,3,6,1,,,2,,,,75,,1,,,,,20,8,23,2,4,3,,,,
MNT,11,1,1,,,,,,,,6,,,,,,,,2,1,,,,,,,
CEBPG,19,1,,,,,,,,,5,,,,,,,,10,1,2,,,,,,
SNAI2,8,3,1,,,,,,,,,,,,,,,3,1,,,,,,,,
SRF,15,2,7,,,,,,,,,,,,,,,3,3,,,,,,,,
GATA3,24,,,,,,,,,,10,,,2,1,,,1,3,3,1,3,,,,,
PGR,13,1,,,1,,,,,,,,,,,,,10,1,,,,,,,,
HOXB13,2,,,,,,,,,,,,,,,,,,,2,,,,,,,
ZNF217,128,22,8,,,,,,,1,12,,,,,,2,8,11,62,2,,,,,,
