"Cancer","N.Triplets","N.TFs","N.Targets","N.miRNAs","N.miRNAPairs"
"ACC",0,0,0,0,0
"BLCA",549,66,240,163,411
"BRCA",172,65,127,116,134
"CESC",3,2,3,6,3
"CHOL",0,0,0,0,0
"COAD",49,17,44,40,35
"DLBC",0,0,0,0,0
"ESCA",2,2,2,4,2
"HNSC",128,38,94,70,107
"KICH",1,1,1,2,1
"KIRC",2,2,2,3,2
"KIRP",18,10,16,28,18
"LGG",2655,82,504,203,1202
"LIHC",30,11,20,31,29
"LUAD",42,17,36,34,33
"LUSC",34,12,30,27,20
"MESO",0,0,0,0,0
"OV",0,0,0,0,0
"PAAD",21,7,17,11,12
"PCPG",7,3,6,10,6
"PRAD",29,16,28,19,16
"READ",0,0,0,0,0
"SARC",754,65,275,187,602
"SKCM",0,0,0,0,0
"STAD",852,71,277,163,600
"TGCT",574,80,210,179,422
"THCA",53,17,43,27,36
"THYM",417,48,136,108,271
"UCEC",20,9,19,21,16
"UCS",0,0,0,0,0
"UVM",0,0,0,0,0
