miRNA,count_miRNA,BLCAMirnaCount,BRCAMirnaCount,CESCMirnaCount,COADMirnaCount,ESCAMirnaCount,HNSCMirnaCount,ACCMirnaCount,KIRCMirnaCount,KIRPMirnaCount,LGGMirnaCount,LIHCMirnaCount,LUADMirnaCount,LUSCMirnaCount,PAADMirnaCount,PCPGMirnaCount,PRADMirnaCount,SARCMirnaCount,STADMirnaCount,TGCTMirnaCount,THCAMirnaCount,THYMMirnaCount,UCECMirnaCount,DLBCMirnaCount,OVMirnaCount,SKCMMirnaCount,UVMMirnaCount
hsa-mir-146a-5p,41,,2,,,,,,,,,1,,,1,,,6,21,8,2,,,,,,
hsa-mir-548f-3p,10,,,,,,,,,,,,,,,,,,,10,,,,,,,
hsa-let-7c-5p,136,11,5,,,1,7,,,1,,,1,1,,3,,45,20,40,,,1,,,,
hsa-mir-504-5p,22,,,,,,,,,,20,,,,,,,,,,,2,,,,,
hsa-mir-10a-3p,14,7,2,,2,,,,,,,,,,,,,3,,,,,,,,,
hsa-mir-499a-5p,9,,,,1,,,,,,6,,,,,,,,,,,2,,,,,
hsa-mir-130b-5p,141,14,39,,2,1,,,,,,1,,,,,,21,51,9,,2,1,,,,
hsa-mir-335-3p,75,9,3,,1,,1,,,2,,,,,,,,12,33,14,,,,,,,
hsa-mir-10b-3p,8,,,,,,,,,,2,,,,,,,6,,,,,,,,,
hsa-mir-106a-5p,116,28,16,,,,11,,,,,1,1,4,,,4,,8,30,,13,,,,,
hsa-mir-629-3p,91,6,15,,1,,,,,1,8,,3,,,,1,21,24,10,,,,,,,1
hsa-mir-409-3p,25,,,,,,,,,,15,1,,,,,,5,,2,2,,,,,,
hsa-mir-199b-5p,53,8,,,,,,,,,13,,1,,,,,11,,15,2,3,,,,,
hsa-mir-34b-5p,19,1,,,,,,,,,12,,,,,,,,,2,,1,3,,,,
hsa-mir-483-3p,8,1,2,,,,,,,,,,,,,,,5,,,,,,,,,
hsa-mir-486-3p,14,,,,,,1,,1,,2,,,,,,,,,10,,,,,,,
hsa-mir-374b-3p,11,,,,,,,,,,,,,,,,,5,6,,,,,,,,
hsa-mir-181c-5p,98,,3,,,,,,,,79,3,,,,,,5,,,,7,1,,,,
hsa-mir-34c-5p,31,3,2,,,,1,,,1,6,,,,,,,4,3,6,1,3,,,,,1
hsa-mir-548j-5p,20,,,,,,,,,,,,1,,,,,,,17,,2,,,,,
hsa-mir-373-3p,4,,,,,,,,,,,,,,,,,,,4,,,,,,,
hsa-mir-582-5p,74,4,5,,,,4,,,1,38,3,,,,,,5,3,11,,,,,,,
hsa-mir-19a-3p,234,49,35,,17,1,9,,,,,2,6,4,,,,30,65,,7,8,1,,,,
hsa-mir-203a-3p,136,5,5,1,6,3,3,,,,64,3,1,,1,,,14,16,10,1,3,,,,,
hsa-mir-486-5p,29,,4,,1,,,,,1,6,,,,,,2,4,9,2,,,,,,,
hsa-mir-543,62,,,,,,,,,,44,2,,,,,,10,,3,,3,,,,,
hsa-mir-1224-5p,52,,,,,,,,,,43,,,,1,,,,,7,,,1,,,,
hsa-mir-485-5p,61,,,,1,,,,,,55,,,,,,,,,5,,,,,,,
hsa-mir-29c-3p,265,17,,,,,2,,,,201,,1,1,,,,18,,25,,,,,,,
hsa-mir-145-3p,17,,,,,,,,,,14,,,,,,,,3,,,,,,,,
hsa-mir-1270,32,11,1,,,,,,1,,3,,,,,,,3,4,7,,,2,,,,
hsa-mir-21-3p,74,8,,,,,,,,,4,2,,,,,,58,,,2,,,,,,
hsa-mir-129-2-3p,2,,,,,,,,,,2,,,,,,,,,,,,,,,,
hsa-mir-31-5p,135,8,2,1,3,,3,,,1,71,,,,1,,1,,18,5,,20,1,,,,
hsa-mir-424-5p,254,33,19,,10,,12,,,1,,2,3,,,,,60,75,34,4,,,,,1,
hsa-mir-524-5p,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
hsa-mir-191-3p,13,5,,,,,,,,,,,,,,,,4,3,1,,,,,,,
hsa-mir-9-5p,147,10,6,,,,11,,,1,,,2,,3,,2,21,28,40,7,15,1,,,,
hsa-mir-132-5p,10,,1,,,,,,,,6,,,,,,,3,,,,,,,,,
hsa-mir-129-1-3p,9,,,,,,,,,,9,,,,,,,,,,,,,,,,
hsa-mir-676-3p,10,,,,,,,,,,2,,,,,,,5,,,1,2,,,,,
hsa-mir-92b-5p,4,,,,,,,,,,2,,,,,,,,2,,,,,,,,
hsa-mir-3680-3p,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
hsa-mir-188-5p,19,5,3,,2,,,,,,,,,,,,,2,4,3,,,,,,,
hsa-mir-1287-5p,17,4,,,,,,,,,12,,,,,,,1,,,,,,,,,
hsa-mir-193a-5p,4,1,,,,,,,,,3,,,,,,,,,,,,,,,,
hsa-mir-2110,59,4,,,,1,,,,,25,,,,,,,22,6,,1,,,,,,
hsa-mir-628-5p,50,,10,,,,,,1,,21,,,,,,,18,,,,,,,,,
hsa-mir-526b-5p,12,2,,,,,,,,,,,,,,,,,,7,,3,,,,,
hsa-mir-27b-3p,159,,,,,,,,,,137,,,,,,,22,,,,,,,,,
hsa-let-7a-3p,48,,,,,,,,,,,,,,,,,48,,,,,,,,,
hsa-mir-200a-5p,25,4,,,,,,,,,5,1,,,,,,6,8,1,,,,,,,
hsa-mir-625-5p,136,11,7,,1,1,2,,,1,75,1,,,,1,,15,18,,,2,,,1,,
hsa-mir-107,272,,,,,,,,,,272,,,,,,,,,,,,,,,,
hsa-mir-125a-5p,29,,,,,,,,,,,1,,,,,,,,,,28,,,,,
hsa-mir-499a-3p,6,,,,,,,,,,,,,,,,,,,6,,,,,,,
hsa-mir-141-3p,148,47,,,,,5,,,,6,1,,7,1,,3,7,29,30,,12,,,,,
hsa-mir-199a-3p,72,9,,,,,,,,,27,1,,,,2,,21,,3,3,5,,,1,,
hsa-mir-199b-3p,43,4,,,,,,,,,21,1,,,,2,,6,,6,1,1,,,,,1
hsa-mir-654-5p,24,2,,,,,,,,,10,4,1,,,,,,,5,,2,,,,,
hsa-mir-126-5p,102,,11,,,,,,,1,75,,,,,,,15,,,,,,,,,
hsa-mir-106a-3p,4,,,,,,,,,,,,,,,,2,,,,,2,,,,,
hsa-mir-200a-3p,134,22,5,,,1,4,,,,30,1,6,4,,,5,,31,20,4,,,,1,,
hsa-mir-502-5p,14,1,,,,,2,,,,2,,1,,,,,1,7,,,,,,,,
hsa-mir-520f-3p,4,,,,,,,,,,,,,,,,,,,3,,1,,,,,
hsa-mir-181a-2-3p,41,10,,1,,,,,,,,2,,,,,,15,,4,,9,,,,,
hsa-mir-17-3p,54,,,,,,,,,,,,,,,,,51,,,,,2,1,,,
hsa-mir-128-3p,125,,,,,,,,,,115,,,,,,,,,,,10,,,,,
hsa-mir-937-3p,6,,,,,,,,,,5,,,,,,,,1,,,,,,,,
hsa-mir-301b-3p,81,13,,,2,,6,,,,3,1,7,,,,,10,5,15,9,8,2,,,,
hsa-mir-20b-5p,117,18,4,,,,6,,,4,,2,8,1,,,20,8,6,21,8,10,1,,,,
hsa-mir-320b,85,10,17,,,,1,,,,,1,2,1,,,,11,42,,,,,,,,
