Target,count_hgnc_symbol_target,BLCATargetCount,BRCATargetCount,CESCTargetCount,COADTargetCount,ESCATargetCount,HNSCTargetCount,ACCTargetCount,KIRCTargetCount,KIRPTargetCount,LGGTargetCount,LIHCTargetCount,LUADTargetCount,LUSCTargetCount,PAADTargetCount,PCPGTargetCount,PRADTargetCount,SARCTargetCount,STADTargetCount,TGCTTargetCount,THCATargetCount,THYMTargetCount,UCECTargetCount,DLBCTargetCount,OVTargetCount,SKCMTargetCount,UVMTargetCount
GRB10,4,1,,,,,1,,,,,1,,,,,,,1,,,,,,,,
KRT7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
TMEM245,43,17,13,,1,,1,,,,8,,1,,,,,1,1,,,,,,,,
KIF24,3,1,,,,,,,,,,,,,,,,1,,,,1,,,,,
NF1,22,,4,,,,,,,,8,,,,,,,3,2,5,,,,,,,
SP100,6,,1,,,,,,,,,,1,,,,,1,,3,,,,,,,
SESN2,2,,,,,,,,,,2,,,,,,,,,,,,,,,,
AARS1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,
LGALS8,3,,,,,,,,,,,,,,,,,2,,1,,,,,,,
GNL1,2,,,,,,,,,,,,,,,,,,2,,,,,,,,
GTDC1,4,,,,,,4,,,,,,,,,,,,,,,,,,,,
WIPF2,2,,,,,,,,,,,,,,,,,2,,,,,,,,,
CLCN7,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
CBX3,3,,,,,,,,,,,,,,,,,,,,,3,,,,,
FHIT,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
PIM1,19,1,,,,,,,,,13,,,,,,,5,,,,,,,,,
IER3,7,2,,,,,,,,,1,,,,,,,1,,,3,,,,,,
TNIK,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
ZMIZ1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
REL,25,,1,,,,,,,,20,,,,,,,,2,,,2,,,,,
RFC3,5,,,,,,,,,,5,,,,,,,,,,,,,,,,
CCL3,5,,,,,,,,,,5,,,,,,,,,,,,,,,,
XRCC1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
PLEKHG1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
PCDH1,2,,,,,,,,,,,,,,,,,,,1,,1,,,,,
SURF6,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
PHF19,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
COL4A1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
ERRFI1,14,,,,,,1,,,,,,1,,,,,6,6,,,,,,,,
SP110,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
IGFBP1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
REV3L,4,,,,,,,,,,3,,,,,,,,1,,,,,,,,
CNOT9,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
HNRNPK,3,,,,,,,,,,,,1,,,,,,,,,2,,,,,
MED15,1,,,,,,,,,,,,1,,,,,,,,,,,,,,
AP1AR,1,,,,,,,,,,,,,,,,,,,,1,,,,,,
PPP2R5D,2,,,,,,,,,,,,,,,,,,,,,2,,,,,
HPCAL1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
IGF2R,13,3,1,,,,1,,,,6,,,,,,,1,1,,,,,,,,
ACTB,11,,4,,2,,,,,,,,,,,,,3,2,,,,,,,,
NR4A3,5,,2,,,,,,,,,,,,,,,3,,,,,,,,,
ZNF331,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
ETF1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
HDAC5,2,,,,,,,,,,1,,,,,,,1,,,,,,,,,
NAA50,5,,,,,,,,,,2,,,,,,1,2,,,,,,,,,
COL7A1,2,,,,,,,,,,,,,,,,,2,,,,,,,,,
IFI35,2,,,,,,,,,,,,,,,,,2,,,,,,,,,
CD53,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
SLX4IP,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
HMGN2,2,,,,,,,,,,,,,,,,,,,,,2,,,,,
SMAD7,11,4,1,,,,,,,,4,,,,,,,,2,,,,,,,,
MUC4,3,1,,,,,,,,,,,,,,,,2,,,,,,,,,
BHLHE40,17,1,,,,,,,,,,,,,,,,7,,6,,3,,,,,
SHANK2,2,,,,,,,,,,,,,,,,,2,,,,,,,,,
NOD2,2,,,,,,,,,,,,,,,,,1,,1,,,,,,,
FSTL3,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
ROR1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
MUC1,4,2,,,,,,,,,,,,,,,,,2,,,,,,,,
SIPA1L2,6,1,,,,,,,,,,,,,,,,,5,,,,,,,,
COL1A2,45,,3,,,,,,,,41,,1,,,,,,,,,,,,,,
SAMD4A,24,,6,,,,,,,,15,,,,,,,3,,,,,,,,,
RARA,4,,,,1,,,,,,,,,,,,,1,1,,1,,,,,,
PRKCH,1,,,,,,,,,,,,,,,,,,,,,,,1,,,
ANKRD46,3,,,,,,,,,,2,,,,,,,1,,,,,,,,,
NPAS3,3,,,,,,,,,,,,,,,,,2,,1,,,,,,,
ATP2B1,3,,,,,,,,,,,,,,,,,,,,2,1,,,,,
CTSD,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
FBXL16,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
ENTPD1,2,,1,,,,,,,,,,,,,,,,,1,,,,,,,
ELMO1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
CCNE2,14,,,1,,,,,,,1,,,,,,,11,,,,1,,,,,
ZNF234,9,,,,,,,,,,9,,,,,,,,,,,,,,,,
TBX21,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
CXCR4,4,,,,,,,,,,,,,,,,,,3,,1,,,,,,
ATG16L2,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
CREB1,24,2,,,,,,,,,7,,,1,,,1,3,7,3,,,,,,,
IREB2,10,1,,,,,,,,,7,,,,,,,2,,,,,,,,,
ITPR2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
ADAM17,21,4,3,,,,1,,,,10,,,,1,,,,,2,,,,,,,
SLC44A1,17,,11,,,,2,,,1,2,,,,,,,,,,,1,,,,,
ID2,45,,,,,,,,,,45,,,,,,,,,,,,,,,,
SKI,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
SH3KBP1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
EPHA6,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
KIF2A,1,,,,,,,,,,,,,,,,,,,,,,1,,,,
PLCB4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
TCF12,6,2,,,,,1,,,,,,,,1,,,,2,,,,,,,,
TLE3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
TXNRD1,48,2,,,,,4,,,,24,,1,,,,,15,1,,,,1,,,,
TBL1XR1,15,1,1,,,,,,,,10,,,,,1,,1,,,,1,,,,,
MARK2,4,,1,,,,,,,,,,,,,,,,,3,,,,,,,
TFPI2,5,,3,,,,1,,,,,,,,,,,,,,,1,,,,,
MON1B,2,,,,,,,,,,2,,,,,,,,,,,,,,,,
BACH2,1,,,,,,,,,,,1,,,,,,,,,,,,,,,
LRP1,4,,,,,,,,,,,,,,,,,,4,,,,,,,,
FOS,16,11,,,,,2,,,,,,,,,,,,,1,,2,,,,,
HIVEP1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
SERPINI1,3,1,,,,,,,,,,,,,,,,1,,1,,,,,,,
TEAD1,33,5,,,,,,,,,16,,,,,,,8,,4,,,,,,,
IQGAP1,53,2,3,,,,,,,,4,,,,,,1,,,43,,,,,,,
ST3GAL1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
PDGFC,9,,1,,,,,,,,,,,,,,,8,,,,,,,,,
HOXA7,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
WDR76,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
PKM,12,5,,,,,,,,,,,1,,,,,1,1,,,4,,,,,
LNX2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
GOLGB1,9,,,,,,,,,,3,,,,,,,2,3,1,,,,,,,
DDX6,2,,,,,,,,,,,,1,,,,,1,,,,,,,,,
TAP1,2,,,,,,,,,,,,,,,1,,1,,,,,,,,,
CTTN,2,,,,,,,,,,1,,,,,,,,1,,,,,,,,
FYN,7,,1,,,,,,,,,,1,,,,,,5,,,,,,,,
DNAJB4,3,,1,,,,,,,,,,,,,,,2,,,,,,,,,
ERBIN,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
NFIL3,11,,,,,,,,,,10,,,,,,,,,,1,,,,,,
CIP2A,2,,,,,,,,,,2,,,,,,,,,,,,,,,,
HSPA8,4,,,,,,,,,,,,,1,,,,2,1,,,,,,,,
ZNF646,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
FLII,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
ADGRG1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
FLNB,9,1,,,,,,,,,,,,,,,,3,,5,,,,,,,
DDIT4,3,1,,,,,,,,,1,,,,,,,,,,1,,,,,,
PRR12,5,1,,,,,,,,,1,,,,,,,2,1,,,,,,,,
NAV2,7,1,,,,,,,,,3,,,,,,,,2,1,,,,,,,
CITED2,21,,1,,,,,,,,,,,,,,,16,1,1,,1,1,,,,
SRCAP,21,,1,,,,,,,,2,,,,,,,14,,4,,,,,,,
BICRA,1,,,,,,,,,1,,,,,,,,,,,,,,,,,
SPAST,5,,,,,,,,,,5,,,,,,,,,,,,,,,,
STK11,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
GCN1,3,,,,,,,,,,1,,,,,,,2,,,,,,,,,
UBXN2A,7,,,,,,,,,,2,,,,,,,,3,1,1,,,,,,
HSPA4,4,,,,,,,,,,,1,1,,,,,2,,,,,,,,,
MYO5A,2,,,,,,,,,,,,,,,,,1,,,,1,,,,,
YWHAZ,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
NDST1,12,,,,,,,,,,,,,,,,,,12,,,,,,,,
PTCH1,2,,,,,,,,,,,,,,,,,,1,,1,,,,,,
PTP4A2,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
APP,11,4,,,,,1,,,,,,,,,,1,3,,2,,,,,,,
PPP1R12A,2,1,,,,,,,,,,,,,,,,,,1,,,,,,,
TAF7,8,1,5,,,,,,,,2,,,,,,,,,,,,,,,,
