source,target,edgeType,CancerTypes
miR-1-3p,miR-1-3p/miR-874-3p,direct,
miR-126-5p,miR-126-5p/miR-940,direct,
miR-127-5p,miR-127-5p/miR-381-3p,direct,
miR-130b-3p,miR-130b-3p/miR-92a-1-5p,direct,
miR-130b-5p,miR-130b-5p/miR-141-3p,direct,
miR-142-3p,miR-142-3p/miR-142-5p,direct,
miR-142-5p,miR-142-5p/miR-323a-3p,direct,
miR-17-5p,miR-17-5p/miR-18a-3p,direct,
miR-181d-5p,miR-181d-5p/miR-194-5p,direct,
miR-182-5p,miR-182-5p/miR-874-3p,direct,
miR-18a-5p,miR-18a-5p/miR-193b-3p,direct,
miR-18a-5p,miR-18a-5p/miR-296-5p,direct,
miR-18a-5p,miR-18a-5p/miR-96-5p,direct,
miR-19a-3p,miR-19a-3p/miR-222-3p,direct,
miR-19a-3p,miR-19a-3p/miR-501-5p,direct,
miR-218-5p,miR-218-5p/miR-323a-3p,direct,
miR-335-5p,miR-335-5p/miR-424-5p,direct,
miR-335-5p,miR-335-5p/miR-484,direct,
miR-495-3p,miR-495-3p/miR-874-3p,direct,
miR-495-3p,miR-495-3p/miR-874-3p,direct,
miR-629-3p,miR-629-3p/miR-93-3p,direct,
miR-874-3p,miR-1-3p/miR-874-3p,direct,
miR-940,miR-126-5p/miR-940,direct,
miR-381-3p,miR-127-5p/miR-381-3p,direct,
miR-92a-1-5p,miR-130b-3p/miR-92a-1-5p,direct,
miR-141-3p,miR-130b-5p/miR-141-3p,direct,
miR-142-5p,miR-142-3p/miR-142-5p,direct,
miR-323a-3p,miR-142-5p/miR-323a-3p,direct,
miR-18a-3p,miR-17-5p/miR-18a-3p,direct,
miR-194-5p,miR-181d-5p/miR-194-5p,direct,
miR-874-3p,miR-182-5p/miR-874-3p,direct,
miR-193b-3p,miR-18a-5p/miR-193b-3p,direct,
miR-296-5p,miR-18a-5p/miR-296-5p,direct,
miR-96-5p,miR-18a-5p/miR-96-5p,direct,
miR-222-3p,miR-19a-3p/miR-222-3p,direct,
miR-501-5p,miR-19a-3p/miR-501-5p,direct,
miR-323a-3p,miR-218-5p/miR-323a-3p,direct,
miR-424-5p,miR-335-5p/miR-424-5p,direct,
miR-484,miR-335-5p/miR-484,direct,
miR-874-3p,miR-495-3p/miR-874-3p,direct,
miR-874-3p,miR-495-3p/miR-874-3p,direct,
miR-93-3p,miR-629-3p/miR-93-3p,direct,
miR-1-3p,STAT3_tf,direct,
miR-126-5p,SP1_tf,direct,
