"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22","_c23","_c24","_c25","_c26","_c27","_c28","_c29","_c30","_c31","_c32","_c33","_c34","_c35","_c36","_c37","_c38","_c39","_c40","_c41","_c42","_c43","_c44","_c45","_c46","_c47","_c48","_c49","_c50","_c51","_c52","_c53","_c54","_c55","_c56","_c57","_c58","_c59","_c60","_c61","_c62","_c63","_c64","_c65","_c66","_c67"
360,"AQP3","hsa-mir-20a-3p","hsa-mir-196a-5p",0.0085,FALSE,NA,NA,NA,"tarbase","tarbase",0.318511566981444,0.590321592335799,0.272390577436384,0.437034530475507,0.098365055557865,0.317959199203998,"hsa-mir-196a-5p","hsa-mir-20a-3p",360,21.6688893711525,24.4784611678902,"23.2650720047394","23.1705078067304","20.1563494458355","22.6054855486151","21.6541325359725","20.9422707811559","23.0055655399215","23.9226230194785","21.8857956749162","21.5094995999665","21.6595886040862","14.4991864217045","23.1924686906421","15.0499057938374","22.3510732627004","18.2494498692738","21.8491346373689","17.0724444866347","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
360,"AQP3","hsa-mir-20a-3p","hsa-mir-889-3p",0.0045,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.318511566981444,0.590321592335799,0.324991260351976,-0.430899109431842,0.098365055557865,0.317959199203998,"hsa-mir-889-3p","hsa-mir-20a-3p",360,17.7394454417491,20.887224972403,"16.478755653064","22.0691058577859","16.6223984237915","21.0390159101925","18.2533595034348","18.3453494545058","16.8044379332269","21.8857956749162","22.3526497599259","16.5640121200671","21.1087194743108","19.7220358307445","14.4991864217045","15.0499057938374","17.4481106580754","16.3698249116071","18.2629656738296","17.0724444866347","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
360,"AQP3","hsa-mir-2355-5p","hsa-mir-889-3p",0.0065,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.594480511032847,-0.200634859897396,0.324991260351976,-0.430899109431842,0.098365055557865,0.317959199203998,"hsa-mir-889-3p","hsa-mir-2355-5p",360,17.7394454417491,20.887224972403,"22.0691058577859","25.2672584464251","20.2165373760312","24.7777138938921","20.9020839251609","20.4409116895428","21.0390159101925","19.3731919680874","21.8857956749162","19.6592908527055","14.4991864217045","15.0499057938374","20.7215354143305","20.271639808894","20.702691867503","17.0724444866347","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
488,"ATP2A2","hsa-mir-188-3p","hsa-mir-497-5p",0.0025,FALSE,NA,NA,NA,"tarbase","tarbase",0.658511882263961,0.447333832523277,0.0602786263793021,-0.736930236174511,0.606911424552385,0.0993281282603189,"hsa-mir-497-5p","hsa-mir-188-3p",488,17.50272231408,18.3456564632619,"19.2744626643267","19.2777788948202","18.6283469817544","18.7308223917552","19.9375684082276","18.7051670733888","18.6219510712941","18.6703615641584","18.8711025218844","17.2780384897773","19.629931342793","19.008121498297","19.2213973254304","18.7897983169253","18.6768778290196","18.354421693381","19.0772067639193","19.5084762469556","18.7577934341994","19.1435845365742","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
493,"ATP2B4","hsa-mir-218-5p","hsa-mir-18a-3p",0.0055,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/30524205'>PubMedLink</a>",NA,NA,"mirtarbase tarbase","mirtarbase",0.0432832878979492,-0.71494649945238,0.0417354195717144,2.1329728762167,0.417303906484887,-0.151408286122232,"hsa-mir-18a-3p","hsa-mir-218-5p",493,17.7385845886969,17.6136490850829,"17.5170935164497","17.3647219093298","16.3763456077021","18.515932191699","19.0759800750235","17.1511104486353","16.899765224775","17.8547591992063","18.1148727091094","18.3760645828199","18.8155474611605","20.2052656046527","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
595,"CCND1","hsa-mir-195-5p","hsa-mir-338-3p",0.004,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29243777'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/30207103'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/11311493'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11371120'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15221962'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15896460'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15949570'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16865248'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18548202'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19475528'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19489683'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19585495'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20473525'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20680537'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21594903'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23111469'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24737585'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25204741'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26631043'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27364926'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27732565'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28521400'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29416780'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30198868'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30361291'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30903019'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31695498'>PubMedLink</a>","mirtarbase tarbase","mirtarbase tarbase",0.0465178735354217,-0.713940602248058,0.445972718154258,-0.231900827090782,0.927073368686399,0.0180538265736299,"hsa-mir-338-3p","hsa-mir-195-5p",595,14.7725972953913,19.1000376410685,"18.2872758244307","17.8013995920244","15.3078549937441","17.7005679667238","14.6173422787594","16.6995030547497","17.2025261346449","15.1713276998329","19.667960590959","14.6633974519861","17.6707352467274","16.0172935763015","19.0140378255996","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
595,"CCND1","hsa-mir-3170","hsa-mir-625-5p",0.002,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11311493'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11371120'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15221962'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15896460'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15949570'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16865248'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18548202'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19475528'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19489683'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19585495'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20473525'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20680537'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21594903'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23111469'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24737585'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25204741'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26631043'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27364926'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27732565'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28521400'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29416780'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30198868'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30361291'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30903019'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31695498'>PubMedLink</a>","mirtarbase","mirtarbase tarbase",0.399123516677717,0.920682457978588,0.268788802374947,0.837819568650752,0.927073368686399,0.0180538265736299,"hsa-mir-625-5p","hsa-mir-3170",595,14.8143596254894,19.5029377630107,"16.1562119834137","16.7627989901634","17.7635196623828","14.2461668000425","20.1152204047172","15.1100119563967","19.2263793367907","16.0078441265355","20.4063040232952","14.9459319373439","19.8807556382186","13.9438317549453","15.047718914711","16.8581314967312","16.7748136064099","17.1122474734257","15.8238324229135","14.60740349516","16.9508370499067","16.8206694858096","14.9401543414522","14.6652255382639","17.776220681605","16.6564718671551","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
595,"CCND1","hsa-mir-625-5p","hsa-mir-296-5p",0.004,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11311493'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11371120'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15221962'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15896460'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15949570'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16865248'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18548202'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19475528'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19489683'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19585495'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20473525'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20680537'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21594903'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23111469'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24737585'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25204741'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26631043'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27364926'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27732565'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28521400'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29416780'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30198868'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30361291'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30903019'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31695498'>PubMedLink</a>","mirtarbase tarbase","tarbase",0.268788802374947,0.837819568650752,0.815453493429602,-0.142555946450267,0.927073368686399,0.0180538265736299,"hsa-mir-296-5p","hsa-mir-625-5p",595,18.0255197278834,16.1562119834137,"14.7725972953913","14.2461668000425","20.3034018487629","18.9357311901542","17.7180023885072","19.2263793367907","16.0078441265355","19.8807556382186","18.6466958585831","16.7748136064099","15.0691512862629","17.1122474734257","18.5720598846866","15.8238324229135","16.9508370499067","17.8491832358109","16.8206694858096","16.1078641414066","19.5074888694481","16.6564718671551","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
659,"BMPR2","hsa-mir-20b-5p","hsa-mir-222-3p",0.0085,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.00898396660926057,1.31515818113164,0.863940325319415,0.061820557847157,0.667552050829966,-0.0849355188134386,"hsa-mir-222-3p","hsa-mir-20b-5p",659,17.3487865537526,14.8856298632456,"15.7203607445202","15.9893990640726","16.4548882246907","15.8659128329231","16.4816395402044","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
667,"DST","hsa-mir-129-5p","hsa-mir-196a-5p",5e-04,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/30260270'>PubMedLink</a>",NA,NA,"tarbase","tarbase",0.00299042749917434,-1.39299181942766,0.272390577436384,0.437034530475507,0.668941439488508,-0.0852327990766385,"hsa-mir-196a-5p","hsa-mir-129-5p",667,12.9190239011575,20.0944515157884,"19.2775966492035","15.6087564176774","16.7912335657524","17.7219473205294","15.6110484932577","15.4275507672811","12.1132811317269","15.6481704898826","15.8582641313349","13.1234885317302","15.1544970467195","15.7487583974435","14.4255192146299","15.1562855096661","17.0394737065201","16.1104842536931","17.0620864183378","15.5777482823649","17.0086820871769","15.4859329872416","15.3994450989217","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
