"entrezgene_id","hgnc_symbol","mirna1","mirna2","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","miRNA1_pvalue","miRNA1_logFC","miRNA2_pvalue","miRNA2_logFC","mRNA_pvalue","mRNA_logFC","mi2","mi1","mrna","_c3","_c4","_c5","_c6","_c7","_c8","_c9","_c10","_c11","_c12","_c13","_c14","_c15","_c16","_c17","_c18","_c19","_c20","_c21","_c22","_c23","_c24","_c25","_c26","_c27","_c28","_c29","_c30","_c31","_c32","_c33","_c34","_c35","_c36","_c37","_c38","_c39","_c40","_c41","_c42","_c43","_c44","_c45","_c46","_c47","_c48","_c49","_c50","_c51","_c52","_c53","_c54","_c55","_c56","_c57","_c58","_c59","_c60","_c61","_c62","_c63","_c64","_c65","_c66","_c67","_c68"
360,"AQP3","hsa-mir-20a-3p","hsa-mir-196a-5p",0.0085,FALSE,NA,NA,NA,"tarbase","tarbase",0.318511566981444,0.590321592335799,0.272390577436384,0.437034530475507,0.098365055557865,0.317959199203998,"hsa-mir-196a-5p","hsa-mir-20a-3p",360,21.8614615416176,23.2057821019997,23.2347399712013,"23.1993223135541","24.4447436744039","24.9959254216702","20.1695542574323","24.9506821726417","21.9461548976576","23.8061293403974","23.1234720172375","24.9289448821792","20.5038272938391","22.7837230270142","22.955930878232","24.1740543869751","21.7599500697243","22.4052621249709","23.9971688005016","24.1958486491773","21.2139343596439","22.7316065169627","21.8831974524597","21.4735602303201","19.8603621885102","24.0050380584499","24.1957944042054","22.7374643258573","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
360,"AQP3","hsa-mir-20a-3p","hsa-mir-889-3p",0.0045,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.318511566981444,0.590321592335799,0.324991260351976,-0.430899109431842,0.098365055557865,0.317959199203998,"hsa-mir-889-3p","hsa-mir-20a-3p",360,24.2950389627654,22.0921656651006,23.8061293403974,"23.1234720172375","21.9464987091047","24.1740543869751","22.2512037362489","25.8838966928113","21.2139343596439","21.3469811483651","21.8831974524597","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
360,"AQP3","hsa-mir-2355-5p","hsa-mir-889-3p",0.0065,FALSE,NA,NA,NA,"tarbase","mirtarbase",0.594480511032847,-0.200634859897396,0.324991260351976,-0.430899109431842,0.098365055557865,0.317959199203998,"hsa-mir-889-3p","hsa-mir-2355-5p",360,20.9733753744689,20.4439006015284,20.4634239579871,"22.6054855486151","20.9422707811559","19.1040806805602","21.5049940252783","23.8061293403974","21.8820124226308","23.1234720172375","20.7205171532895","22.743069139086","22.5537743624654","21.9464987091047","19.8544543204627","22.2512037362489","17.8013556238838","25.8838966928113","20.034645804811","21.2139343596439","23.0964536929043","23.52413204293","21.3469811483651","21.8831974524597","22.5528004397777","22.2360257168758","21.6227421113211","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
488,"ATP2A2","hsa-mir-188-3p","hsa-mir-497-5p",0.0025,FALSE,NA,NA,NA,"tarbase","tarbase",0.658511882263961,0.447333832523277,0.0602786263793021,-0.736930236174511,0.606911424552385,0.0993281282603189,"hsa-mir-497-5p","hsa-mir-188-3p",488,18.9062822806745,20.4587865255144,19.5456712100355,"20.157096163117","19.0538619662513","18.5246146985315","18.8029492162255","19.8552754087318","19.7873681315048","17.4555981860364","20.2378891520349","19.375890873816","19.5375364984889","20.6601851685091","19.870751137265","20.0303511004203","20.4618256404056","20.6461176805386","18.8961221162055","20.2166721659425","20.4511155240108","20.2152070498022","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
493,"ATP2B4","hsa-mir-218-5p","hsa-mir-18a-3p",0.0055,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/30524205'>PubMedLink</a>",NA,NA,"mirtarbase tarbase","mirtarbase",0.0432832878979492,-0.71494649945238,0.0417354195717144,2.1329728762167,0.417303906484887,-0.151408286122232,"hsa-mir-18a-3p","hsa-mir-218-5p",493,18.8749817446013,18.6261640138771,19.9521872401842,"18.833021472315","19.0348584580614","17.6302877335165","18.4551887966834","19.6543547720737","19.0152572065194","19.4180125634897","16.3459890435244","19.3567331718819","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
595,"CCND1","hsa-mir-195-5p","hsa-mir-338-3p",0.004,FALSE,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/29243777'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/30207103'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/11311493'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11371120'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15221962'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15896460'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15949570'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16865248'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18548202'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19475528'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19489683'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19585495'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20473525'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20680537'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21594903'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23111469'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24737585'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25204741'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26631043'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27364926'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27732565'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28521400'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29416780'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30198868'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30361291'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30903019'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31695498'>PubMedLink</a>","mirtarbase tarbase","mirtarbase tarbase",0.0465178735354217,-0.713940602248058,0.445972718154258,-0.231900827090782,0.927073368686399,0.0180538265736299,"hsa-mir-338-3p","hsa-mir-195-5p",595,20.9935015077202,18.6068037821057,20.2628638216822,"15.6036587472163","14.5877176479114","18.5285672480403","20.3573760425497","20.747801769803","18.8541699119808","18.7916589590942","18.0672164395584","16.9508370499067","17.0404198602512","19.3304511570132","17.3922297590155","15.1776986823457","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
595,"CCND1","hsa-mir-3170","hsa-mir-625-5p",0.002,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11311493'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11371120'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15221962'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15896460'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15949570'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16865248'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18548202'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19475528'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19489683'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19585495'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20473525'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20680537'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21594903'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23111469'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24737585'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25204741'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26631043'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27364926'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27732565'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28521400'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29416780'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30198868'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30361291'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30903019'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31695498'>PubMedLink</a>","mirtarbase","mirtarbase tarbase",0.399123516677717,0.920682457978588,0.268788802374947,0.837819568650752,0.927073368686399,0.0180538265736299,"hsa-mir-625-5p","hsa-mir-3170",595,19.360688704937,20.9935015077202,20.0978503223942,"16.471991887457","15.6036587472163","15.9305885834786","16.1974180936437","14.5877176479114","18.8441416458551","16.0057168609833","17.2025261346449","19.7768096739877","19.3304511570132","18.9492601517512","19.6939315944813","17.5354959322568","19.1102588696521","16.2039182325056","15.7973446129786","19.8741879908157","19.0140378255996","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
595,"CCND1","hsa-mir-625-5p","hsa-mir-296-5p",0.004,FALSE,NA,NA,"<a href='https://pubmed.ncbi.nlm.nih.gov/11311493'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11371120'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15221962'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15896460'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15949570'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/16865248'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18548202'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19475528'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19489683'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19585495'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20473525'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20680537'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/21594903'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23111469'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24737585'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25204741'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26631043'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27364926'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27732565'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28521400'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29416780'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30198868'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30361291'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30903019'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31695498'>PubMedLink</a>","mirtarbase tarbase","tarbase",0.268788802374947,0.837819568650752,0.815453493429602,-0.142555946450267,0.927073368686399,0.0180538265736299,"hsa-mir-296-5p","hsa-mir-625-5p",595,20.9935015077202,20.7061992176282,17.2277221988247,"15.6036587472163","14.5877176479114","17.5043689040702","18.8441416458551","20.6913495497372","18.7110617285254","17.5394507956954","19.8721925374685","16.4581243945295","18.7916589590942","19.7768096739877","18.438603384871","18.1117429511859","19.1102588696521","17.8601129550983","18.9418260681064","18.8850237650042","17.087622992219","15.7973446129786","18.6290579947922","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
659,"BMPR2","hsa-mir-20b-5p","hsa-mir-222-3p",0.0085,FALSE,NA,NA,NA,"mirtarbase","tarbase",0.00898396660926057,1.31515818113164,0.863940325319415,0.061820557847157,0.667552050829966,-0.0849355188134386,"hsa-mir-222-3p","hsa-mir-20b-5p",659,17.009024628795,17.9461720707144,16.3245983992563,"16.8924424437185","17.3976146743184","17.4222656035679","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
667,"DST","hsa-mir-129-5p","hsa-mir-196a-5p",5e-04,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/30260270'>PubMedLink</a>",NA,NA,"tarbase","tarbase",0.00299042749917434,-1.39299181942766,0.272390577436384,0.437034530475507,0.668941439488508,-0.0852327990766385,"hsa-mir-196a-5p","hsa-mir-129-5p",667,18.3632114658958,17.445749162289,18.5073633187442,"15.249890029864","14.2216983639124","18.1017625466073","15.5307343575654","19.2947367121249","18.6040205038629","18.0714492513271","18.2141299084035","18.3739444087098","18.8778629948154","18.4888816094919","16.6009777990751","12.7985543506796","14.5246031092367","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
