"entrezgene_id","hgnc_symbol","mirna1","mirna2","Two_Var_XZ","Two_Var_YZ","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB"
518,"ATP5MC3","hsa-mir-409-3p","hsa-mir-424-5p",0.013,0.0875,0.004,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/24591819'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/29151939'>PubMedLink</a>","NA","mirtarbase  ","mirtarbase tarbase "
595,"CCND1","hsa-mir-338-3p","hsa-mir-17-5p",0.06,0.153,0.0075,FALSE,"NA","<a href='https://pubmed.ncbi.nlm.nih.gov/26500892'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/10329035'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/10584879'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11395387'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15297421'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15505422'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15505422'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15545188'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23907459'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24018808'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24858206'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28521400'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28598010'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30205383'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30409964'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30414739'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/8607831'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9038263'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/9790790'>PubMedLink</a>","mirtarbase tarbase ","mirtarbase tarbase "
773,"CACNA1A","hsa-mir-605-5p","hsa-mir-221-5p",0.039,0.051,0.005,FALSE,"NA","NA","NA","mirtarbase  "," tarbase "
800,"CALD1","hsa-mir-17-5p","hsa-mir-98-5p",0.0175,0.677,0.004,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/26500892'>PubMedLink</a>","NA","NA"," tarbase "," tarbase "
857,"CAV1","hsa-mir-194-5p","hsa-mir-20a-5p",0.0135,0.616,0.007,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/11032026'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11032026'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11696424'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11696424'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11863219'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/11863219'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26503358'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30487062'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31228941'>PubMedLink</a>","mirtarbase tarbase ","mirtarbase tarbase "
894,"CCND2","hsa-mir-10a-5p","hsa-mir-106a-5p",0.49,0.219,0.006,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/17270028'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18281541'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30205383'>PubMedLink</a>"," tarbase "," tarbase "
894,"CCND2","hsa-mir-200a-3p","hsa-mir-378a-5p",0.8425,0.015,0.0075,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/17270028'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/18281541'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30205383'>PubMedLink</a>"," tarbase ","mirtarbase tarbase "
990,"CDC6","hsa-mir-142-3p","hsa-mir-204-5p",0.4275,0.0415,0.0045,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/29904404'>PubMedLink</a>","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/27035425'>PubMedLink</a>","mirtarbase tarbase "," tarbase "
1021,"CDK6","hsa-mir-378a-3p","hsa-let-7f-5p",0.101,0.075,0.0045,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/28778953'>PubMedLink</a>","mirtarbase tarbase "," tarbase "
1021,"CDK6","hsa-mir-378a-3p","hsa-mir-200a-3p",0.08,0.722,0.004,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/28778953'>PubMedLink</a>","mirtarbase tarbase ","mirtarbase  "
1191,"CLU","hsa-mir-1228-5p","hsa-mir-20a-5p",0.0145,0.113,0.002,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/15578711'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15578711'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19391138'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22185350'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23208459'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23208459'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26293319'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29970704'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31540420'>PubMedLink</a>","mirtarbase  "," tarbase "
1718,"DHCR24","hsa-mir-129-2-3p","hsa-mir-204-5p",0.0145,0.04,0.0085,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/28950890'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31002355'>PubMedLink</a>"," tarbase "," tarbase "
2182,"ACSL4","hsa-mir-130a-3p","hsa-mir-200b-3p",0.457,0.098,0.003,FALSE,"NA","<a href='https://pubmed.ncbi.nlm.nih.gov/26416421'>PubMedLink</a>","NA","mirtarbase  ","mirtarbase  "
2200,"FBN1","hsa-mir-183-3p","hsa-mir-98-5p",0.7285,0.1755,0.008,FALSE,"NA","NA","NA"," tarbase "," tarbase "
2200,"FBN1","hsa-mir-96-5p","hsa-mir-10b-3p",0.0535,0.017,0.0025,FALSE,"NA","NA","NA"," tarbase "," tarbase "
