"entrezgene_id","hgnc_symbol","mirna1","mirna2","Two_Var_XZ","Two_Var_YZ","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB","median1","median2","mRNA_pvalue","mRNA_logFC"
27,"ABL2","hsa-let-7c-5p","hsa-mir-27b-3p",0.117,0.1775,0.003,FALSE,"NA","NA","NA"," tarbase ","mirtarbase tarbase ",17.4838995245415,15.9057783115391,0.736427411757629,0.0863245612183809
27,"ABL2","hsa-mir-27b-3p","hsa-mir-26a-5p",0.1425,0.0835,0.0065,FALSE,"NA","NA","NA","mirtarbase tarbase "," tarbase ",17.3235248951625,15.896726894803,0.736427411757629,0.0863245612183809
27,"ABL2","hsa-mir-29b-2-5p","hsa-mir-139-5p",0.0145,0.1125,0.004,FALSE,"NA","<a href='https://pubmed.ncbi.nlm.nih.gSARC/29673587'>PubMedLink</a>","NA"," tarbase ","mirtarbase tarbase ",16.8894398895761,15.8488102117159,0.736427411757629,0.0863245612183809
92,"ACVR2A","hsa-mir-185-5p","hsa-mir-195-5p",0.039,0.015,0.0055,FALSE,"NA","<a href='https://pubmed.ncbi.nlm.nih.gSARC/25775010'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSARC/28032380'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/25024164'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31273315'>PubMedLink</a>"," tarbase ","mirtarbase tarbase ",16.779093040754,15.2921518026222,0.882279537066363,-0.0377122903501757
92,"ACVR2A","hsa-mir-195-5p","hsa-mir-590-3p",0.019,0.8755,0,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gSARC/25775010'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSARC/28032380'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gSARC/30257395'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/25024164'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31273315'>PubMedLink</a>","mirtarbase tarbase "," tarbase ",16.9443451117586,15.438826246124,0.882279537066363,-0.0377122903501757
92,"ACVR2A","hsa-mir-19b-1-5p","hsa-mir-195-5p",0.08,0.016,0.0045,FALSE,"NA","<a href='https://pubmed.ncbi.nlm.nih.gSARC/25775010'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSARC/28032380'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/25024164'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31273315'>PubMedLink</a>"," tarbase ","mirtarbase tarbase ",16.4113095842944,15.3227851327193,0.882279537066363,-0.0377122903501757
92,"ACVR2A","hsa-mir-497-5p","hsa-mir-590-3p",0.0455,0.872,0.003,FALSE,"NA","<a href='https://pubmed.ncbi.nlm.nih.gSARC/30257395'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/25024164'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31273315'>PubMedLink</a>","mirtarbase  "," tarbase ",16.7668498283451,15.606941144854,0.882279537066363,-0.0377122903501757
93,"ACVR2B","hsa-let-7a-3p","hsa-mir-625-3p",0.0315,0.0115,0.0035,FALSE,"NA","NA","NA","mirtarbase  "," tarbase ",14.1299280357403,12.9782629411601,0.990346422106494,-0.00333519161091519
93,"ACVR2B","hsa-mir-129-5p","hsa-mir-625-3p",0.021,0.012,0,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gSARC/28535514'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gSARC/29328417'>PubMedLink</a>","NA","NA"," tarbase "," tarbase ",14.1428268783336,13.0112687481597,0.990346422106494,-0.00333519161091519
93,"ACVR2B","hsa-mir-942-5p","hsa-let-7f-1-3p",0.1445,0.052,0.0035,FALSE,"NA","NA","NA"," tarbase ","mirtarbase  ",14.1903118942997,13.1661611268601,0.990346422106494,-0.00333519161091519
