"entrezgene_id","hgnc_symbol","mirna1","mirna2","Two_Var_XZ","Two_Var_YZ","Lancaster_XY_Z","is_mrna_tf","mirna1Literature","mirna2Literature","mrnaLiterature","miRNA1_mRNA_DB","miRNA2_mRNA_DB"
27,"ABL2","hsa-mir-95-3p","hsa-mir-200a-3p",0.129,0.292,0.003,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/25379720'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31825826'>PubMedLink</a>"," tarbase "," tarbase "
125,"ADH1B","hsa-mir-34b-3p","hsa-mir-223-5p",0.8495,0.381,0.0035,FALSE,"NA","<a href='https://pubmed.ncbi.nlm.nih.gov/29615147'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/28236470'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29808834'>PubMedLink</a>","mirtarbase  ","mirtarbase  "
330,"BIRC3","hsa-mir-196b-5p","hsa-mir-582-5p",0.2655,0.4915,0.002,FALSE,"NA","<a href='https://pubmed.ncbi.nlm.nih.gov/30536321'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/31170211'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/12082024'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12082024'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12243753'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12243753'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12384799'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12651874'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/15138717'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20959404'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22046421'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26291056'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31766357'>PubMedLink</a>"," tarbase "," tarbase "
571,"BACH1","hsa-mir-188-3p","hsa-mir-497-5p",0.0325,0.0455,0.0055,TRUE,"NA","<a href='https://pubmed.ncbi.nlm.nih.gov/30867780'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/31257023'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31257027'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31257029'>PubMedLink</a>","mirtarbase  "," tarbase "
894,"CCND2","hsa-mir-542-3p","hsa-mir-20b-5p",0.506,0.4205,0.0075,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/28866101'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/31289482'>PubMedLink</a>","NA
<a href='https://pubmed.ncbi.nlm.nih.gov/11251971'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12684418'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14506731'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14506731'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17636483'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22534667'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26466823'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27494902'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30227870'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30664171'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30722989'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30950241'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31253987'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31527584'>PubMedLink</a>"," tarbase "," tarbase "
894,"CCND2","hsa-mir-96-5p","hsa-mir-582-3p",0.752,0.7175,0.0025,FALSE,"NA","NA","NA
<a href='https://pubmed.ncbi.nlm.nih.gov/11251971'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/12684418'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14506731'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/14506731'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/17636483'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/22534667'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26466823'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27494902'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30227870'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30664171'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30722989'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30950241'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31253987'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31527584'>PubMedLink</a>","mirtarbase tarbase "," tarbase "
1073,"CFL2","hsa-mir-940","hsa-mir-200a-3p",0.2895,0.011,0.0085,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/31258781'>PubMedLink</a>","NA","NA","mirtarbase  "," tarbase "
1277,"COL1A1","hsa-mir-378a-5p","hsa-mir-539-5p",0.035,0.0645,0.0035,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/28258342'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28258342'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29568927'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30604926'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30732676'>PubMedLink</a>"," tarbase "," tarbase "
1289,"COL5A1","hsa-mir-9-5p","hsa-mir-32-3p",0.707,0.771,0.008,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/29239816'>PubMedLink</a>","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/29702185'>PubMedLink</a>"," tarbase "," tarbase "
1300,"COL10A1","hsa-mir-335-5p","hsa-mir-29c-3p",0.243,0.0495,0.0075,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/19949890'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30442874'>PubMedLink</a>","mirtarbase tarbase ","mirtarbase  "
1523,"CUX1","hsa-mir-20b-5p","hsa-mir-195-5p",0.467,0.974,0.005,TRUE,"<a href='https://pubmed.ncbi.nlm.nih.gov/31289482'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/32026208'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/15084380'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/19826114'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/20661084'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23315881'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/23896864'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28405678'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29159900'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29246726'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30010043'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30010043'>PubMedLink</a>"," tarbase "," tarbase "
1604,"CD55","hsa-mir-382-5p","hsa-mir-542-3p",0.661,0.3075,0.0065,FALSE,"NA","<a href='https://pubmed.ncbi.nlm.nih.gov/28866101'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/27080225'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28008159'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28008159'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/28008159'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/29895866'>PubMedLink</a>"," tarbase ","mirtarbase  "
1778,"DYNC1H1","hsa-mir-141-5p","hsa-mir-615-3p",0.3365,0.025,0,FALSE,"NA","<a href='https://pubmed.ncbi.nlm.nih.gov/28454411'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/31422060'>PubMedLink</a>","NA"," tarbase ","mirtarbase  "
1822,"ATN1","hsa-mir-7-5p","hsa-mir-642a-5p",0.053,0.0965,0.0015,FALSE,"NA","NA","<a href='https://pubmed.ncbi.nlm.nih.gov/19118029'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/24410728'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/25950911'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/26124487'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27542268'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27613526'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/27613526'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30453282'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30453282'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30584364'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30584364'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/30613269'>PubMedLink</a>
<a href='https://pubmed.ncbi.nlm.nih.gov/31221816'>PubMedLink</a>"," tarbase "," tarbase "
1948,"EFNB2","hsa-mir-582-5p","hsa-mir-497-5p",0.188,0.011,0.0045,FALSE,"<a href='https://pubmed.ncbi.nlm.nih.gov/30536321'>PubMedLink</a> <a href='https://pubmed.ncbi.nlm.nih.gov/31170211'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/30867780'>PubMedLink</a>","<a href='https://pubmed.ncbi.nlm.nih.gov/30106131'>PubMedLink</a>","mirtarbase  ","mirtarbase tarbase "
